"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
2002,"California",887,727,0.82,0,0,0,0,35222901,0
2002,"Colorado",327,215,0.66,131,0.61,0,0,4648662,2284633
2002,"Connecticut",137,110,0.80,61,0.55,0,0,4211952,1964031
2002,"Canal Zone",0,0,0,0,0,0,0,0,0
2002,"District of Columbia",3,2,0.67,1,0.50,0,0,570898,0
2002,"Delaware",97,64,0.66,52,0.81,0,0,839193,807385
2002,"Florida",832,595,0.72,0,0,0,0,16790087,0
2002,"Georgia",811,555,0.68,0,0,0,0,8593897,0
2002,"Guam",3,0,0,0,0,0,0,0,0
2002,"Hawaii",15,4,0.27,0,0,0,0,1350867,0
2002,"Iowa",305,247,0.81,221,0.89,0,0,3146200,2864063
2002,"Idaho",151,119,0.79,117,0.98,0,0,1386037,1328471
2002,"Illinois",1078,7,0.01,1,0.14,0,0,12671130,152307
2002,"Indiana",411,279,0.68,0,0,0,0,6174803,0
2002,"Kansas",583,435,0.75,324,0.74,0,0,2998938,2340716
2002,"Kentucky",718,27,0.04,17,0.63,0,0,4496702,536056
2002,"Louisiana",312,188,0.60,0,0,0,0,4529119,0
2002,"Massachusetts",530,363,0.68,219,0.60,0,0,6888021,3791612
2002,"Maryland",204,148,0.73,0,0,0,0,5615508,0
2002,"Maine",242,180,0.74,0,0,0,0,1329171,0
2002,"Michigan",925,689,0.74,615,0.89,0,0,11141200,8788708
2002,"Minnesota",481,309,0.64,0,0,0,0,5086860,0
2002,"Missouri",721,569,0.79,0,0,0,0,5684884,0
2002,"Mississippi",253,126,0.50,0,0,0,0,2871782,0
2002,"Montana",142,75,0.53,0,0,0,0,981132,0
2002,"Nebraska",344,251,0.73,44,0.18,0,0,1845876,440569
2002,"North Carolina",805,443,0.55,0,0,0,0,8347250,0
2002,"North Dakota",150,79,0.53,70,0.89,0,0,661701,506733
2002,"New Hampshire",301,171,0.57,44,0.26,0,0,1688465,381795
2002,"New Jersey",653,518,0.79,0,0,0,0,8638252,0
2002,"New Mexico",150,83,0.55,0,0,0,0,1866916,0
2002,"Nevada",76,35,0.46,0,0,0,0,2180572,0
2002,"New York",1038,679,0.65,0,0,0,0,20955239,0
2002,"Ohio",1005,535,0.53,207,0.39,0,0,12337532,3909347
2002,"Oklahoma",493,301,0.61,0,0,0,0,3544795,0
2002,"Oregon",309,173,0.56,7,0.04,0,0,3778086,215632
2002,"Pennsylvania",1875,923,0.49,0,0,0,0,12859638,0
2002,"Puerto Rico",24,0,0,0,0,0,0,0,0
2002,"Rhode Island",56,48,0.86,0,0,0,0,1075893,0
2002,"South Carolina",717,543,0.76,396,0.73,0,0,4153020,4101434
2002,"South Dakota",204,114,0.56,84,0.74,0,0,864773,370115
2002,"Tennessee",660,525,0.80,454,0.86,0,0,5846822,5796512
2002,"Texas",1264,980,0.78,62,0.06,0,0,22324720,2564252
2002,"Utah",189,117,0.62,57,0.49,0,0,2490530,1764253
2002,"US Virgin Islands",3,0,0,0,0,0,0,0,0
2002,"Virginia",549,479,0.87,395,0.82,0,0,7412994,7234922
2002,"Vermont",109,74,0.68,57,0.77,0,0,643491,565746
2002,"Washington",328,246,0.75,8,0.03,0,0,6784428,690869
2002,"Wisconsin",488,362,0.74,1,0.00,3,0.01,5607403,20149
2002,"West Virginia",531,386,0.73,333,0.86,0,0,2102032,1681327
2002,"Wyoming",83,64,0.77,0,0,0,0,504213,0
2002,"Mariana Islands",1,0,0,0,0,0,0,0,0
2002,"Other",0,0,0,0,0,0,0,0,0
2003,"Alaska",51,33,0.65,0,0,0,0,648921,0
2003,"Alabama",485,306,0.63,0,0,0,0,4531274,0
2003,"Arkansas",407,253,0.62,133,0.53,0,0,3593973,1588733
2003,"American Samoa",1,0,0,0,0,0,0,0,0
2003,"Arizona",151,96,0.64,1,0.01,3,0.03,5637404,34763
2003,"California",887,727,0.82,0,0,0,0,35592667,0
2003,"Colorado",320,212,0.66,135,0.64,0,0,4703735,2397770
2003,"Connecticut",137,110,0.80,67,0.61,0,0,3880135,2097750
2003,"Canal Zone",0,0,0,0,0,0,0,0,0
2003,"District of Columbia",3,2,0.67,1,0.50,0,0,563384,0
2003,"Delaware",91,60,0.66,53,0.88,0,0,843255,817491
2003,"Florida",832,596,0.72,0,0,0,0,17102484,0
2003,"Georgia",811,525,0.65,0,0,0,0,8719493,0
2003,"Guam",3,0,0,0,0,0,0,0,0
2003,"Hawaii",15,4,0.27,0,0,0,0,1364659,0
2003,"Iowa",311,258,0.83,226,0.88,0,0,3193360,2916051
2003,"Idaho",152,123,0.81,119,0.97,0,0,1412529,1357404
2003,"Illinois",1079,8,0.01,1,0.13,0,0,12871302,151703
2003,"Indiana",411,284,0.69,0,0,0,0,6214751,0
2003,"Kansas",568,441,0.78,344,0.78,0,0,3248805,2382320
2003,"Kentucky",715,30,0.04,18,0.60,2,0.07,4769068,844645
2003,"Louisiana",313,182,0.58,9,0.05,0,0,4545591,203355
2003,"Massachusetts",519,352,0.68,234,0.66,0,0,6694614,4047450
2003,"Maryland",204,149,0.73,0,0,0,0,5672192,0
2003,"Maine",242,166,0.69,1,0.01,11,0.07,1360108,15765
2003,"Michigan",913,670,0.73,611,0.91,0,0,10745970,8622143
2003,"Minnesota",481,319,0.66,0,0,1,0.00,5135884,0
2003,"Missouri",720,588,0.82,0,0,4,0.01,5732950,0
2003,"Mississippi",253,125,0.49,0,0,0,0,2881281,0
2003,"Montana",143,77,0.54,0,0,0,0,1040354,0
2003,"Nebraska",351,257,0.73,60,0.23,0,0,1885073,531122
2003,"North Carolina",805,450,0.56,0,0,0,0,8433301,0
2003,"North Dakota",151,77,0.51,65,0.84,0,0,680318,495315
2003,"New Hampshire",258,143,0.55,135,0.94,0,0,1422953,901753
2003,"New Jersey",653,521,0.80,0,0,0,0,8688836,0
2003,"New Mexico",150,86,0.57,0,0,0,0,1892610,0
2003,"Nevada",76,35,0.46,0,0,0,0,2247570,0
2003,"New York",1038,677,0.65,0,0,0,0,21018067,0
2003,"Ohio",996,526,0.53,225,0.43,0,0,12584218,5723038
2003,"Oklahoma",493,298,0.60,0,0,0,0,3566501,0
2003,"Oregon",328,185,0.56,35,0.19,0,0,4036146,720079
2003,"Pennsylvania",1875,890,0.47,0,0,0,0,12888020,0
2003,"Puerto Rico",24,0,0,0,0,0,0,0,0
2003,"Rhode Island",56,48,0.86,0,0,0,0,1082476,0
