year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1996-01-01,MA,380476,226268,5573012,3206449,2973307,79142,334028,394855,375937,394217,513000,533576,531924,477543,435268,436195,332025,254177,229367,234632,217441,177246,122178,107005
1996-01-01,MD,1406138,210340,3495508,2639823,2472163,70360,292994,355892,322107,304013,371772,465923,464720,415012,381358,385539,292951,225062,186121,174600,153608,117190,73263,59501
1996-01-01,ME,6001,15000,1228059,641695,607365,13638,60068,91664,86324,73264,76468,94848,108413,103817,95767,89078,70143,56203,52090,51335,45148,35068,24222,21502
1996-01-01,MI,1416589,218478,8123578,4990372,4768273,130616,555695,712911,701997,646862,696373,762995,826937,773574,693093,742512,526061,420185,362417,355693,316710,244641,161329,128044
1996-01-01,MN,147109,175742,4389976,2388429,2324398,62550,256808,364572,344228,290955,328546,394876,422102,379196,329311,354710,241563,194330,164691,158499,142027,118302,86236,79325
1996-01-01,MO,613411,82990,4735152,2799682,2631871,71373,298732,402736,394460,350305,368900,419885,451900,408497,368075,393579,289125,243133,219142,213454,189202,149823,105177,94055
1996-01-01,MS,1004313,25702,1718070,1426347,1321738,39189,164781,219861,232479,211832,192910,193160,212140,197795,177422,206226,136989,118486,105827,101321,85941,66380,45611,39735
1996-01-01,MT,2929,59155,824170,445250,441004,10768,45235,71476,70004,56268,48643,58565,74682,76339,67595,64452,49060,40837,35173,33378,29199,24450,16554,13576
1996-01-01,NC,1671635,185228,5643807,3850316,3650354,99850,407683,494141,503540,539223,613441,606916,628338,576051,528699,524866,410991,335684,301047,287498,245572,184631,119646,92853
1996-01-01,ND,3514,33333,613535,325500,324882,8166,33140,51012,52264,47634,44130,43899,52851,51111,42679,45864,31052,26438,25421,24813,22440,19223,14693,13552
1996-01-01,NE,66604,34054,1573082,852369,821371,22603,91225,130546,128270,113165,110467,124544,137191,129368,113648,123856,82832,69307,63981,63112,56689,46322,33776,32838
1996-01-01,NH,8825,15768,1150126,598244,576475,14412,62744,85232,77258,66565,78754,98015,112274,100695,89745,90093,65196,48694,42615,41779,36216,28478,19504,16450
1996-01-01,NJ,1184891,434861,6529844,4201334,3948262,110457,469488,534983,507364,477504,565636,706684,724188,641133,583000,585914,461653,361164,319131,318144,287243,226541,149492,119877
1996-01-01,NM,40623,185007,1526696,889160,863166,26427,109318,146562,139027,117731,111406,135707,146052,134435,121248,139347,89521,74576,66073,61176,51355,37641,25161,19563
1996-01-01,NV,119873,101458,1444989,818872,847448,25456,98014,111828,101287,101257,129522,156726,145169,128116,117059,121183,94049,79361,67112,66051,53933,36624,20469,13104
1996-01-01,NY,3314224,1078909,14195327,9637978,8950482,251360,1087964,1246979,1229133,1200004,1424579,1562898,1565408,1404936,1291147,1340224,1014841,826788,731662,701929,618289,479881,328999,281439
1996-01-01,OH,1299584,148595,9794648,5797764,5445063,149606,621687,811062,804361,732427,786346,854182,941107,879088,801864,809124,597946,505679,444239,439182,396856,305038,201008,162025
1996-01-01,OK,260826,334443,2744860,1703861,1636268,44665,183729,259147,255000,234398,223899,241868,267944,247527,223815,244088,177233,150333,136537,131352,113523,88916,61525,54630
1996-01-01,OR,60756,151105,3035250,1642584,1604527,42392,169931,233960,231726,204448,223283,241263,268517,276417,253815,227455,182988,141197,118179,118508,109919,90659,62042,50412
1996-01-01,PA,1230865,217559,10772040,6337643,5882821,143654,627836,831788,815508,756335,832356,887489,1011857,953336,862157,842558,659649,552072,512049,539885,507223,403849,269827,211036
1996-01-01,RI,54398,28684,937811,531035,489858,13059,54390,64810,67045,68713,80128,78512,86931,78546,69961,70151,53576,41787,38148,41162,40355,32459,22165,18995
1996-01-01,SC,1152086,42296,2601818,1960492,1835708,50052,212856,274331,282941,272582,281907,293774,305241,288456,266118,281893,207001,169776,151681,144624,122686,90998,56456,42827
1996-01-01,SD,4047,62173,675993,375280,366933,10003,41058,60896,60831,49396,46036,51792,59477,56927,47923,56142,35352,30163,29149,28631,26196,21795,15628,14818
1996-01-01,TN,892896,62978,4460769,2793097,2623546,70737,293912,374405,384217,373749,400527,432173,443513,420428,389920,375172,303802,251836,221891,204885,175266,134607,90877,74726
1996-01-01,TX,2335740,616199,16388403,9771852,9568490,318459,1257205,1543390,1479615,1403969,1492265,1652382,1657594,1460469,1257542,1523270,942117,742277,645935,607025,511992,377114,254210,213512
1996-01-01,UT,17828,79913,1970235,1035460,1032516,40589,147090,192509,215475,183956,160922,149850,152309,139983,116366,178937,85190,67671,58046,53484,45895,36661,24148,18895
1996-01-01,VA,1342874,248601,5159409,3442984,3307900,88640,369909,457719,448758,463530,526175,589146,597947,542788,500940,478671,385409,298102,247726,233110,199596,150874,95142,76702
1996-01-01,VT,3311,6908,583482,302811,290890,6574,29996,44797,41934,37365,40773,41944,52099,51178,46525,44441,34045,25806,22225,21556,18711,14594,10031,9107
1996-01-01,WA,199460,417596,4952697,2799484,2770269,75376,311849,412720,389223,350515,398944,467198,495165,470169,417976,409580,308042,230807,190625,182000,163091,133913,89417,73143
1996-01-01,WI,297086,125445,4807455,2656559,2573427,60371,272921,399902,387619,337126,363931,405201,450302,415827,367100,382241,270773,222108,196955,193791,173569,141343,101245,87661
1996-01-01,WV,59041,10966,1752801,940417,882391,20355,86687,122332,139414,127415,115074,118684,142320,144824,138809,110731,103384,91036,82470,82880,73996,55152,37634,29611
1996-01-01,WY,4040,13823,470304,242910,245257,6285,25625,42006,41952,32735,27461,33438,43041,43364,36748,35707,26437,21283,17878,16639,14074,10523,7072,5899
1997-01-01,AK,25352,129708,457908,294812,318156,9385,39438,53612,46982,38523,38921,54705,60970,59728,49167,55474,35635,23303,15748,11654,8836,5683,3058,2146
1997-01-01,AL,1140120,52972,3174843,2264810,2103125,58359,238804,315101,329275,304951,312252,309626,343806,334233,297431,311358,253784,204736,182497,170993,146580,114591,76807,62751
1997-01-01,AR,416291,35643,2149156,1337154,1263936,35315,143233,192890,198687,177351,172202,181382,196354,189014,171230,186862,150536,123954,110639,106542,92911,75658,52203,44127
1997-01-01,AZ,164445,364728,4207817,2379587,2357403,72695,281669,332669,333439,325382,364068,375691,384361,345124,301215,349860,252190,202223,181541,188262,169696,134053,83051,59801
1997-01-01,CA,2455408,4235525,25795077,16281119,16204891,496336,2150251,2402190,2247439,2156819,2610926,2806799,2785972,2490348,2115783,2689391,1723333,1270170,1050271,1007365,900687,729116,470166,382648
1997-01-01,CO,171306,141098,3705889,2005505,2012788,55944,219118,292657,280703,269316,313420,333797,375568,354000,305380,290926,233694,164807,132515,120274,101057,79778,51397,43942
1997-01-01,CT,325427,89324,2934597,1728219,1621129,42635,180774,220872,205219,186129,225093,271628,296585,274647,238624,244519,211727,153565,127666,124944,116572,99739,69484,58926
1997-01-01,DC,360305,17755,189676,300743,266993,6547,30061,28167,34038,43318,63711,52398,46480,40677,37046,37266,31046,24727,20648,20205,18316,14688,10021,8376
1997-01-01,DE,144294,17837,589356,386604,364883,9916,40300,51331,51654,47109,57701,59867,64903,58346,50499,54364,43600,34319,30350,29942,25835,19949,12134,9368
1997-01-01,FL,2282637,324487,12579180,7788446,7397858,184343,756081,977252,929151,871462,983961,1159306,1226882,1117058,976390,1014223,853110,703384,669573,761887,729269,590915,383569,298488
1997-01-01,GA,2202649,168328,5314122,3925292,3759807,111885,443886,556265,563625,545383,619383,669962,669632,605492,533908,581982,439408,321512,262333,233650,192817,153081,100218,80677
1997-01-01,HI,32799,887586,291255,600533,611107,15930,70671,84192,81269,82681,85232,99411,99950,96668,86215,88164,71740,51682,44556,45067,41838,32004,19241,15129
1997-01-01,IA,61087,43107,2786925,1478446,1412673,36490,147662,210533,225834,190412,192800,190058,228551,223854,200068,199462,159597,130195,116365,113174,105878,91760,65512,62914
1997-01-01,ID,5388,30595,1192537,614238,614282,18559,73665,103137,110124,87348,77492,81915,97427,96234,84397,95381,67624,52213,43435,39737,34333,29347,20081,16071
1997-01-01,IL,1887497,442504,9855714,6233249,5952466,174269,729498,873516,873507,808831,902993,978564,1023563,940893,821035,908107,676901,527799,444622,419481,380559,310635,213552,177390
1997-01-01,IN,506723,70622,5377922,3045290,2909977,82411,332366,428972,450108,411974,431108,434392,490447,468818,413069,426537,341494,269501,225824,214036,192441,153366,102262,86141
1997-01-01,KS,158557,71502,2405233,1337509,1297783,36563,146098,202731,202492,175587,180076,186566,216465,208132,178429,194462,142514,109945,97168,94967,87540,74047,51623,49887
1997-01-01,KY,292820,33322,3626605,2028069,1924678,52708,213847,280714,296820,274450,282597,296574,322442,306811,277180,276213,230202,185875,157724,148334,128524,99704,66419,55609
1997-01-01,LA,1435689,78957,2906425,2285138,2135933,62741,257316,356211,366209,314092,309215,322413,357389,339397,293706,339273,240597,189919,162817,153583,133889,102104,65565,54635
1997-01-01,MA,392930,239837,5593291,3229914,2996144,78507,328152,401281,387620,383491,503703,522062,537820,490904,434066,440142,365069,265562,228586,229733,215629,179760,124733,109238
1997-01-01,MD,1438668,220384,3498276,2664894,2492434,70884,288103,363384,332236,301027,362808,451453,467096,424692,378373,392173,318168,234653,187756,173057,152768,121517,76038,61142
1997-01-01,ME,6641,15611,1232522,644870,609904,13585,58058,91461,87595,71139,76213,91111,108276,105819,96217,87976,77709,58506,52100,51220,45335,35931,24592,21931
1997-01-01,MI,1428471,229763,8150817,5011752,4797299,130997,547902,717467,712391,636454,692485,741992,819064,789195,693658,752293,567760,435046,361949,347121,315979,250646,165047,131605
1997-01-01,MN,157212,185484,4420694,2412265,2351125,63430,256861,366451,356569,294328,326228,379558,424155,387529,334448,356198,263047,201078,166183,156881,141353,120680,87025,81388
1997-01-01,MO,624475,86796,4769922,2823288,2657905,71962,296433,404498,404178,350057,371051,404258,453912,420532,369104,398988,312216,251727,219435,211149,188143,153321,104820,95409
1997-01-01,MS,1016239,26939,1733826,1440394,1336610,39980,163219,218258,235601,209141,197771,188751,212400,203429,178199,211982,148711,121277,107253,100795,86192,67670,46033,40342
1997-01-01,MT,2910,60337,826618,447185,442680,10594,44184,70408,71037,56946,49262,55633,73219,76845,68614,63501,53613,42261,35654,33105,29180,24732,17108,13969
1997-01-01,NC,1703828,195825,5757172,3925537,3731288,102983,408485,506036,515684,539297,624539,602374,638887,594503,531145,542104,451510,349497,305935,286604,246722,191177,122345,96998
1997-01-01,ND,3501,33845,612370,325297,324419,8117,32843,49815,53440,48194,43269,41666,51873,51774,43757,44929,33647,26858,25315,24259,22436,19111,14614,13799
1997-01-01,NE,68697,35185,1582536,857938,828480,22877,91673,130191,131768,114108,111400,119511,136677,131216,115212,124401,90155,70745,63677,62354,56344,47186,33887,33036
1997-01-01,NH,9246,16602,1163577,605453,583972,14358,61895,86852,80262,65212,78467,94019,112829,103893,90218,90321,72779,51476,43145,41540,36331,29157,19720,16951
1997-01-01,NJ,1200550,462871,6555387,4235668,3983140,109379,460280,542534,512626,475733,557497,694110,731937,661960,578221,596501,500532,375006,318511,310894,285252,230785,153553,123497
1997-01-01,NM,41632,189216,1543991,901033,873806,26554,108312,147966,142537,118512,111675,129798,145658,136943,122390,142392,98177,77047,66903,62127,51772,39616,25658,20802
1997-01-01,NV,128057,111442,1524605,866803,897301,26520,102924,117999,109345,108498,134220,160173,153209,137743,121534,128608,106768,86042,71968,67663,55820,39149,21790,14131
1997-01-01,NY,3345110,1129724,14181712,9669507,8987039,245246,1055631,1256707,1244182,1193691,1403791,1529224,1574191,1430710,1282226,1362332,1092767,847327,729755,684678,614463,489357,333281,286987
1997-01-01,OH,1317777,155095,9804485,5812305,5465052,150296,615560,812276,816309,720408,781521,825943,928983,896208,797546,819544,647189,517136,442867,427811,394087,312739,206019,164915
1997-01-01,OK,265613,343245,2764059,1719578,1653339,46652,182487,257306,261565,235626,228078,232540,267871,253772,223568,247216,192119,155204,137443,130518,113096,91171,61176,55509
1997-01-01,OR,62188,158440,3083682,1670001,1634309,43285,172453,236232,238448,210765,227469,236972,267092,278044,256566,231255,203397,148654,120357,116870,108321,93217,62953,51960
1997-01-01,PA,1245495,226720,10755599,6337461,5890353,142107,613330,838046,830255,737738,821017,857718,998637,969222,857902,847987,714618,564853,504896,522744,502315,411376,276927,216126
1997-01-01,RI,56657,29869,938827,533082,492271,12860,53068,65610,69555,66405,79020,76191,86955,80652,69751,71394,58718,43213,37771,39468,39651,33037,22751,19283
1997-01-01,SC,1168026,46259,2645411,1992456,1867240,51166,210339,278213,288897,269997,285280,288184,307434,296023,267541,289878,227440,177555,154794,145734,122752,95094,58388,44987
1997-01-01,SD,4162,63854,676207,376151,368072,9962,40811,60622,62012,49797,45607,49149,59025,57487,48964,56146,38128,30452,28789,28242,25992,22145,15697,15196
1997-01-01,TN,908434,66168,4524631,2834511,2664722,72035,292087,376190,390830,371887,407388,426022,447150,432578,390706,383983,332357,262474,225393,205675,175212,138479,92113,76674
1997-01-01,TX,2377071,655841,16707405,9966302,9774015,322252,1262279,1561259,1532328,1425235,1522441,1621694,1677138,1516208,1273873,1565139,1035612,773307,656029,609012,514470,393758,258273,220010
1997-01-01,UT,19058,83335,2017391,1060648,1059136,42484,151941,191242,219628,194804,165577,149310,153141,143991,118992,183888,93232,70237,59046,53697,46282,37781,24859,19652
1997-01-01,VA,1367796,263294,5198093,3484558,3344625,89314,366327,464124,459839,458718,521844,574676,602155,557189,497398,487136,421712,311083,251815,232841,199352,156188,98164,79308
1997-01-01,VT,3249,7421,586569,304737,292502,6432,28845,44680,43235,36230,40740,40316,51711,52051,46985,43686,37765,27253,22429,21458,18966,14854,10276,9327
1997-01-01,WA,208977,437670,5028100,2851067,2823680,77119,311117,417486,404326,359711,402676,456909,497293,481798,422203,417648,341904,243025,194302,180386,160923,138299,91614,76008
1997-01-01,WI,302926,130500,4832787,2672959,2593254,59799,270683,402074,397308,338316,357559,392644,450109,423862,370680,383547,294215,228174,197101,190587,173489,143494,102540,90032
1997-01-01,WV,59365,11104,1748644,937527,881586,20154,85180,119943,136968,124654,117120,115501,138455,145003,138405,111683,112214,92630,82642,80785,73568,56278,37754,30176
1997-01-01,WY,3924,13915,471612,243495,245956,6220,25330,41074,42542,32839,28173,31407,41522,43545,37406,35237,28888,21900,18133,16725,14271,10907,7270,6062
1998-01-01,AK,26194,133182,460556,298509,321423,9355,39650,55233,48858,38693,40090,51107,59322,59419,50658,56552,37118,24921,16298,11819,9094,6138,3296,2311
1998-01-01,AL,1152248,54413,3198040,2281866,2122835,58377,236105,313928,330062,305838,312534,304719,344664,341675,303670,313700,264086,214643,186421,168870,148178,117407,75671,64153
1998-01-01,AR,420780,37390,2168119,1348420,1277869,35590,144820,192989,200460,178136,174633,176805,197837,192425,173941,188818,155061,130101,112859,105640,93198,75982,52024,44970
1998-01-01,AZ,171440,374394,4337508,2450588,2432754,75335,289969,346639,348574,336548,368263,369515,389847,357371,310797,366709,265464,217277,189418,189751,173810,138427,86530,63098
1998-01-01,CA,2477681,4368304,26141690,16532263,16455412,487974,2081672,2434160,2333653,2213601,2597843,2758463,2818048,2569273,2188241,2731250,1812986,1352965,1087517,999101,899650,747373,478394,395511
1998-01-01,CO,177472,150197,3788970,2050726,2065913,58026,224914,299398,292939,279859,320455,327139,374067,360494,314846,300016,247768,176203,136540,119800,103113,82139,53150,45773
1998-01-01,CT,333828,93892,2937632,1737186,1628166,42557,180236,227924,209891,184512,216932,262422,294467,281032,241060,245971,216039,164026,128804,121093,116186,100150,71311,60739
1998-01-01,DC,355305,18131,191794,299330,265900,6286,27510,27176,35044,45011,61300,50892,46541,41187,37798,36256,32467,26058,21069,19626,18042,14730,9763,8474
1998-01-01,DE,149003,19015,595317,392982,370353,10072,40400,52479,53426,48195,55911,58495,64856,60339,51674,55229,45398,36459,31008,29985,26305,20582,12685,9837
1998-01-01,FL,2351227,343208,12792124,7938711,7547848,185678,752092,1000072,963995,886255,992268,1126986,1248120,1159630,1010222,1032562,892628,751480,692497,747721,737960,603793,391426,311174
1998-01-01,GA,2271997,182906,5408633,4010502,3853034,115593,451277,570639,579008,557070,630927,662467,682035,625020,545139,597338,461492,344223,270387,232717,195054,157204,101763,84183
1998-01-01,HI,32631,889223,293379,602865,612368,15607,67264,82992,82039,83105,84897,95834,99440,96769,88110,88049,74925,55146,45005,43771,42516,33408,20346,16010
1998-01-01,IA,63173,43848,2795851,1483224,1419648,36565,148410,209315,228502,194429,187995,185575,225378,225794,204593,200976,165078,134548,117528,110047,106019,91915,66164,64041
1998-01-01,ID,5907,32084,1214339,625894,626436,19039,74828,102905,111828,89805,80140,81227,96822,97148,87118,98167,70679,55402,44891,39807,35154,29759,20700,16911
1998-01-01,IL,1903979,462356,9905512,6272356,5999491,172524,718162,878210,888287,818115,903502,952093,1018829,962252,837043,919305,696444,552995,452911,409749,380196,312521,215803,182906
1998-01-01,IN,516404,74111,5408365,3065177,2933703,82977,334489,431985,455084,415062,426186,424046,486143,475835,419751,434360,351526,281364,229611,208235,193717,155734,104330,88445
1998-01-01,KS,162176,74809,2423613,1348807,1311791,37293,148032,203387,208221,180443,178430,180222,214883,211213,183217,196047,148549,115198,97926,92595,87332,75124,51590,50896
1998-01-01,KY,298150,35357,3651883,2042740,1942650,52552,212874,278118,296188,276998,283937,290683,322829,313855,282110,277680,240563,194624,161730,146398,129642,101934,66189,56486
1998-01-01,LA,1448356,80753,2911235,2293400,2146944,63695,254314,351862,370008,317061,305794,313945,353021,345383,300763,339976,248989,198169,165406,150719,136035,103957,65514,55733
1998-01-01,MA,405072,252871,5613895,3253399,3018439,78228,325962,412266,399824,386307,481500,509472,539709,503409,441403,440671,378997,284520,230866,222758,215592,181518,126942,111894
1998-01-01,MD,1471996,228564,3503904,2691090,2513374,70542,287012,373108,342678,301665,354931,433749,466874,434419,382702,395633,328913,249469,192273,170736,153169,124728,78276,63587
1998-01-01,ME,7432,16439,1235256,647065,612062,13485,57567,92043,88679,69887,75022,87678,106723,106984,97572,86790,81562,62242,52830,50398,46021,36440,24918,22286
1998-01-01,MI,1441513,240356,8166073,5028059,4819883,130002,544486,724625,719450,633505,682381,723062,807260,800930,704971,754986,583282,459162,367407,335941,317429,254435,168516,136112
1998-01-01,MN,169213,195575,4448624,2436014,2377398,63511,259845,369802,366547,301670,323145,364384,422084,395658,343895,358251,272661,211942,169986,154069,142431,121843,88350,83338
1998-01-01,MO,633777,90607,4797381,2842620,2679145,72373,297017,407256,411707,354034,368888,388197,451713,429940,376052,403093,320985,264172,222059,208664,188799,155521,104958,96337
1998-01-01,MS,1028123,28012,1748699,1454123,1350711,40682,162099,216317,237213,210080,198852,186525,213423,208552,182777,214776,155227,126395,110074,99010,87406,68826,45229,41371
1998-01-01,MT,3034,61733,827664,448397,444034,10549,43973,69880,71678,57233,49850,53217,70917,76347,70272,63255,55675,44299,36389,32557,29649,24667,17530,14494
1998-01-01,NC,1733013,207313,5868795,3999251,3809870,106251,411646,518195,526799,551182,623185,601513,648792,611591,543560,553512,473238,371760,313711,283140,249447,196394,124274,100931
1998-01-01,ND,3720,34682,609130,324271,323261,7845,32743,48845,54241,48936,41782,39748,50359,51774,45133,44157,34859,27695,25121,23639,22904,18967,14533,14251
1998-01-01,NE,70394,36154,1589268,861988,833828,22886,92696,129637,134373,115886,111849,114617,135201,132201,118075,124484,93560,73740,63987,60798,56972,47341,34001,33512
1998-01-01,NH,9635,17866,1178439,613851,592089,14255,62113,89531,83229,65754,76342,90474,111967,106866,92086,90521,76890,56077,44322,41292,36929,29827,20040,17425
1998-01-01,NJ,1217158,489519,6580741,4269168,4018250,108965,454551,555003,518542,475227,553374,676513,734404,681623,585918,601960,513532,398170,322462,302515,285781,233856,156929,128093
1998-01-01,NM,41649,196947,1554888,910763,882721,26432,106239,146960,145384,119198,113412,124559,145194,139289,125901,143206,103525,81175,68922,62210,53133,40739,26447,21559
1998-01-01,NV,136640,121532,1595019,910193,942998,27794,108291,124838,116801,114990,139232,159955,159150,145178,127420,137031,113820,93926,76794,69485,58280,41608,23177,15421
1998-01-01,NY,3378440,1182239,14195227,9709173,9046733,241756,1022838,1268911,1261923,1208984,1377446,1497017,1581583,1463468,1300414,1363961,1127095,889309,739370,668123,616205,496742,335685,295076
1998-01-01,OH,1333730,162235,9815571,5827589,5483947,148856,612418,815271,823901,719584,769473,804244,912053,912788,806883,822281,670337,537471,449279,413671,395149,318061,210176,169640
1998-01-01,OK,271627,350035,2783532,1735317,1669877,47403,184793,254833,268067,238306,230042,224975,266656,258643,228251,249233,198688,162805,139701,129476,113399,92331,61107,56485
1998-01-01,OR,64508,165764,3122177,1693259,1659190,43559,175301,237824,243113,217680,230617,233800,264144,276778,262930,233648,213933,159201,124278,114524,108018,94454,64099,54548
1998-01-01,PA,1262645,237588,10745439,6344553,5901119,140879,602011,845523,844217,734607,795409,838089,979760,984005,869964,848226,737005,591592,506978,502013,503288,414305,282907,224894
1998-01-01,RI,59143,31361,940651,536230,494925,12411,51701,66540,71756,67688,74827,74990,86593,82882,71277,71571,61069,46095,38166,37739,39416,33251,23221,19962
1998-01-01,SC,1181039,48617,2689579,2021198,1898037,52321,208731,281433,293626,272347,285338,284005,310577,303004,274153,292015,239062,189792,158758,146284,124109,97664,59555,46461
1998-01-01,SD,4528,65084,676446,376849,369209,9845,40745,60047,62807,50500,45311,47008,58290,57845,50627,55863,39394,31691,28635,27579,26119,22517,15748,15487
1998-01-01,TN,924468,69743,4575834,2867707,2702338,73506,292713,379309,395223,375322,410153,418024,450436,441424,396598,390411,345891,276860,230727,203877,176578,141844,92332,78817
1998-01-01,TX,2419724,694904,17042903,10170525,9987006,328046,1273458,1583924,1586452,1455629,1550399,1588080,1691133,1565184,1319980,1609216,1086644,821089,674568,604534,523657,405630,262351,227557
1998-01-01,UT,20190,86666,2059104,1082766,1083194,43406,157738,190805,221542,206729,168832,148835,152770,146656,123290,188302,97031,74505,60587,53474,46936,38352,25813,20357
1998-01-01,VA,1392692,277553,5230673,3521274,3379644,90253,366714,474281,470314,459949,512707,556091,604094,568251,502339,494325,436588,330483,258444,232503,201944,159359,100102,82177
1998-01-01,VT,3381,7654,589381,306425,293991,6294,28048,44645,44473,36438,38910,39582,50805,52667,48012,42786,39579,29465,23033,21027,19266,15207,10522,9657
1998-01-01,WA,215228,461491,5092843,2899573,2869989,77778,313319,423070,417673,369126,403856,446334,496061,488939,433931,425065,359340,261161,201133,177160,160800,140679,94412,79725
1998-01-01,WI,308347,135504,4853821,2687271,2610401,61536,269039,402960,404697,343474,348246,381676,445875,430807,379239,384779,304658,238872,200148,186068,174726,144438,104267,92167
1998-01-01,WV,59966,11668,1743975,935024,880585,19970,84055,118131,133877,123070,117166,113706,134673,144792,139303,112336,117312,95469,84128,78059,73765,57105,37715,30977
1998-01-01,WY,4164,14149,472474,243669,247118,6095,25234,39957,42859,33380,29130,30114,39775,43149,38484,35023,30082,23041,18546,16498,14464,11192,7478,6286
1999-01-01,AK,26610,136117,462052,301266,323513,9265,38671,55877,49732,39451,41687,48329,57719,59162,52540,55181,39580,26381,16960,12219,9512,6525,3527,2461
1999-01-01,AL,1162673,56160,3211308,2293259,2136882,58787,236153,317379,327789,306182,307028,301295,342932,344000,309892,315749,275759,220728,189814,167363,148565,117897,76876,65953
1999-01-01,AR,424438,39478,2187944,1359445,1292415,35851,145276,193029,200122,179622,176338,174957,199896,194986,178341,188127,161702,135264,115753,104761,93175,76333,52465,45862
1999-01-01,AZ,177619,385622,4460582,2518299,2505524,77506,298582,364017,359836,350911,371429,367109,393281,368155,322567,380471,282200,229310,198437,188248,174466,141816,89282,66200
1999-01-01,CA,2502469,4504301,26492434,16800161,16699043,485647,2026500,2497890,2403117,2303169,2563984,2714559,2830371,2631815,2269009,2748888,1920301,1415902,1127145,985605,902399,766688,492951,413264
1999-01-01,CO,183070,160047,3882901,2101358,2124660,60120,231098,306407,302365,294419,326929,327928,371857,367106,327225,304910,265834,186839,142207,120041,104378,84482,54621,47252
1999-01-01,CT,341801,99825,2944775,1747148,1639253,42660,180157,236053,213162,185894,207932,254504,293075,286444,246896,245385,222424,171572,130887,118365,114972,100744,72454,62821
1999-01-01,DC,354021,18833,197359,301797,268416,6458,26440,28544,36717,48523,57039,49639,46507,41649,38725,36596,34514,27011,21698,18882,17679,14902,9928,8762
1999-01-01,DE,153643,20134,601213,398732,376258,10223,40846,54060,54830,50086,53292,57757,64858,61972,53351,55768,47477,38109,31777,29791,26404,20984,13166,10239
1999-01-01,FL,2419083,361615,12978723,8073847,7685574,187719,754054,1032139,992265,907463,994333,1098372,1260288,1196187,1049792,1037103,942150,789129,720321,732184,730681,611578,400752,322911
1999-01-01,GA,2343624,198733,5503608,4096031,3949934,119807,463161,591812,589631,574511,638268,656082,693333,642115,559425,609017,487139,362385,280449,233760,197516,157765,103380,86409
1999-01-01,HI,31161,883766,295373,601830,608470,15523,64222,82785,81529,82715,83523,90661,97285,95723,89327,86991,77930,57934,45708,43010,42452,34556,21518,16908
1999-01-01,IA,65291,45875,2806468,1488223,1429411,36894,149836,210410,228268,199745,181811,184425,221799,226687,209662,202438,172878,136955,118821,107971,105306,91808,67138,64782
1999-01-01,ID,6243,33422,1236009,636798,638876,19493,76693,103979,111587,92437,82840,81995,95958,97538,90083,99729,74530,58108,46544,39821,35543,30157,21095,17544
1999-01-01,IL,1923260,483995,9951765,6313350,6045670,173288,708678,893453,893729,833765,897285,928426,1009780,977421,857556,929962,726545,567540,461748,400609,377467,315497,217871,188400
1999-01-01,IN,525171,79871,5439927,3083351,2961618,83904,337001,439078,455151,420595,417385,419558,482834,479433,429304,440415,366436,288461,234501,204460,192620,158156,105403,90274
1999-01-01,KS,164954,78221,2435163,1356044,1322294,37717,149485,204242,210417,185908,175407,176480,211714,212236,188648,196167,155509,118900,98820,90679,86584,75198,52730,51497
1999-01-01,KY,303644,37574,3676835,2056401,1961652,52771,212762,279093,292505,280619,283190,286835,323273,318015,288496,279246,252943,199700,166288,144509,129509,103629,67156,57514
1999-01-01,LA,1461433,83817,2915561,2302744,2158067,64309,253052,350265,369278,321955,300851,307731,348414,347893,309678,339437,260765,204008,169228,148253,135380,105682,67242,57390
1999-01-01,MA,416891,267700,5632754,3274830,3042515,77731,321520,422958,408407,396060,455310,499442,542130,515100,452495,435970,397395,299408,235075,217857,213185,183528,129117,114657
1999-01-01,MD,1503532,239334,3511643,2716928,2537581,69781,284850,383228,350607,307768,347652,416285,467375,444074,391066,394395,343624,260362,198420,168369,153202,127069,80829,65553
1999-01-01,ME,7545,17287,1241976,650598,616210,13349,57179,92200,89060,69702,73574,85762,105434,108096,99910,84608,86441,65724,54088,49907,46067,37396,25428,22883
1999-01-01,MI,1455082,255136,8186898,5047770,4849346,130339,541478,737022,719575,638082,667971,709928,797517,807841,721311,752758,608876,474708,375136,329896,315575,257831,171488,139784
1999-01-01,MN,182425,206114,4484942,2462931,2410550,64417,262184,374016,371672,313553,320629,355280,418658,404383,355713,357216,287632,220470,175359,152718,142717,122493,89554,84817
1999-01-01,MO,642019,94956,4824973,2860166,2701782,72433,296696,410286,413459,362424,365607,378212,449019,437805,386754,401327,334433,272809,226460,205558,188365,156690,105892,97719
1999-01-01,MS,1038253,29320,1760835,1464581,1363827,41147,162641,217856,235794,211246,196174,186325,213445,211168,187919,216879,163110,129504,112865,97932,87491,68746,45900,42266
1999-01-01,MT,3110,63617,830780,450543,446964,10618,44073,69715,71658,57847,50508,52055,68606,75619,72177,62616,58828,45838,37398,32374,29859,24703,18014,15001
1999-01-01,NC,1758625,219869,5970867,4062710,3886651,109781,419508,536658,533703,565355,613187,605279,655682,623687,558808,558932,497191,388238,321589,281436,250505,199555,126707,103560
