year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1970-01-01,MN,35462,32445,3747474,1946169,1869212,67037,264418,415901,376278,296061,251863,208021,192505,202566,203331,400703,194543,177658,156156,130509,110492,83673,51467,32199
1970-01-01,MO,480982,15767,4189839,2425361,2261227,76458,295071,471766,433262,358669,300129,253055,245855,262506,269107,446925,250394,240252,223547,188476,149621,109785,68350,43360
1970-01-01,MS,817360,7183,1401595,1147383,1078755,44021,166201,253179,234864,175955,129396,115054,108548,115031,112205,237884,108257,105057,98398,83237,58827,40242,23688,16094
1970-01-01,MT,2004,28974,666687,349023,348642,11889,45510,78757,70901,52455,42877,38017,36256,38733,38744,72027,39212,34873,28657,22143,16865,13941,9846,5962
1970-01-01,NC,1130804,52585,3923749,2606417,2500721,90728,347328,522904,523175,469372,350050,299373,287697,301301,297228,495192,268276,238826,201510,157365,112768,74909,42721,26415
1970-01-01,ND,2511,15498,601607,307054,312562,10779,40753,70340,65190,49688,35127,31008,31189,32757,31927,63917,32121,30956,27542,21816,17459,13054,8533,5460
1970-01-01,NE,40287,9783,1438994,761688,727376,24692,96144,153499,144219,116603,90289,78507,77597,81214,81190,146941,76255,71897,66964,56489,48922,38100,23957,15585
1970-01-01,NH,2547,1735,738284,379512,363054,12829,52698,74596,68051,59332,49149,41398,39793,41764,42205,74926,39578,35575,32048,26234,21689,15406,9172,6123
1970-01-01,NJ,777956,35365,6379889,3713699,3479511,115570,472710,714060,618360,514968,466189,406254,412802,464413,478829,691725,441538,383376,316589,246665,194807,133161,77043,44151
1970-01-01,NM,19725,77500,927065,519323,504967,20487,76894,123528,106574,84264,66305,60072,58442,57899,54948,119159,47752,42136,34991,26543,18873,13065,7737,4621
1970-01-01,NV,28361,11954,454681,243986,251010,8960,35199,50159,41038,39999,38176,34593,31652,31369,31144,50807,28390,24069,18292,12973,8388,5234,2851,1703
1970-01-01,NY,2182070,181781,15902183,9535947,8730087,299219,1183525,1718234,1575138,1394396,1232114,1042994,1022966,1121624,1137348,1675797,1062357,982353,864916,697615,548204,371050,213108,123076
1970-01-01,OH,976806,27474,9668504,5499330,5173454,187360,733494,1128086,1019535,842061,696573,601818,576691,641107,655133,1056688,593104,515091,431311,336595,269138,196988,118744,73267
1970-01-01,OK,172843,105065,2293018,1318435,1252491,42160,156456,254253,243609,210383,164660,140540,138064,144750,147803,237670,135752,131921,122938,104086,79577,57439,35422,23443
1970-01-01,OR,26560,30759,2045832,1073078,1030073,34359,130553,212122,204795,165161,141354,117231,108208,117967,124532,194374,119416,111176,95121,76024,60617,44484,28022,17635
1970-01-01,PA,1018312,30619,10768466,6139549,5677848,182513,742321,1170290,1083128,863835,712064,611867,622659,737442,776608,1080317,741010,662018,563005,442103,349332,247104,144356,85425
1970-01-01,RI,25657,5746,921152,485536,467019,15245,60895,88938,86671,89005,60051,47836,47461,56131,59746,86073,56024,50719,43677,35451,28816,20409,12106,7301
1970-01-01,SC,792346,5964,1806352,1325734,1278928,48784,187694,283784,282943,241418,176857,146809,141383,144706,146650,269402,131916,115021,96288,74722,51338,34003,19114,11830
1970-01-01,SD,1682,33583,632034,336187,331112,11158,43316,74479,70420,49726,35868,31850,32732,35733,36319,68274,35212,32503,29344,25265,21674,16479,10517,6430
1970-01-01,TN,623494,7333,3311756,2035670,1906913,67154,258635,397432,381602,325402,266050,229167,217780,228810,229880,376357,211408,195288,173611,140038,103547,71315,42235,26872
1970-01-01,TX,1406425,53590,9800206,5746312,5513909,212944,792667,1188231,1103226,972671,772373,649731,626926,650127,633719,1145630,556990,512698,448861,364415,267374,183634,108906,69098
1970-01-01,UT,6718,19400,1041482,540162,527438,25289,88367,123984,117673,99653,73385,58315,53531,54095,52703,117600,48712,41502,35211,27235,21304,14635,8926,5480
1970-01-01,VA,865326,22876,3782899,2363942,2307159,79936,311591,475495,444904,444710,337901,282264,268795,280708,283352,455511,250141,212877,174400,135598,100231,67653,39939,25095
1970-01-01,VT,778,808,445063,228364,218285,8067,31661,45935,44769,36483,29308,24051,22728,23992,23865,45850,22632,20707,19061,15754,12783,9236,5759,4008
1970-01-01,WA,72381,82011,3265582,1720530,1699444,58877,221444,349732,332028,298696,241066,195325,181052,192674,203798,327781,189406,167674,139048,107433,84597,62886,40479,25978
1970-01-01,WI,129598,28386,4268435,2254653,2171766,75140,306441,475141,436081,341616,275431,234680,225096,243519,244035,458982,232738,216416,189271,156345,128615,94517,57171,35184
1970-01-01,WV,67327,2839,1679181,902061,847286,28285,110650,177056,173154,130462,99571,90462,89286,104784,108524,158625,102629,96476,85059,68293,53053,36699,22045,14234
1970-01-01,WY,2590,6333,325005,166266,167662,6137,22451,36571,33451,25403,21950,18785,18410,19781,19349,33782,17920,16171,13535,10233,8171,6106,3644,2078
1971-01-01,AK,9629,56085,250652,144591,171775,7492,25816,35636,29071,38925,29521,24429,21216,18013,15603,36280,12444,9024,5654,3336,1717,1004,598,587
1971-01-01,AL,908655,6801,2581893,1809412,1687937,64022,239909,374013,350741,296288,222156,195112,184588,194480,194748,338393,183148,169861,152316,127492,89216,61079,36186,23601
1971-01-01,AR,352296,5251,1614393,1015138,956802,34669,128487,200033,188578,156788,120628,103442,96838,101852,105100,183079,105041,102413,98991,88041,64736,46852,27923,18449
1971-01-01,AZ,56430,116598,1723089,961505,934612,36849,133426,203730,185313,168637,128847,109216,100690,102017,103648,186434,96342,85714,78728,68389,49772,31917,16847,9601
1971-01-01,CA,1461328,769736,18114660,10324487,10021237,350836,1292491,1994958,1881087,1874180,1511223,1268067,1150016,1197044,1239304,1857789,1118429,959499,796668,644310,496313,353055,219976,140479
