year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1962,542,0,0,0,0,0,0,0,0,WV
1962,89,0,0,0,0,0,0,0,0,WY
1962,1,0,0,0,0,0,0,0,0,NA
1962,0,0,0,0,0,0,0,0,0,NA
1963,55,6,0.11,0,0,0,0,248000,0,AK
1963,488,133,0.27,0,0,3,0.02,3432484,0,AL
1963,346,94,0.27,0,0,0,0,1901985,0,AR
1963,1,0,0,0,0,0,0,0,0,NA
1963,173,42,0.24,0,0,1,0.02,1573945,0,AZ
1963,931,389,0.42,0,0,0,0,18110168,0,CA
1963,321,104,0.32,0,0,0,0,1995959,0,CO
1963,129,77,0.60,0,0,0,0,2744140,0,CT
1963,1,1,1.00,0,0,0,0,43200,0,NA
1963,3,1,0.33,0,0,0,0,798000,0,DC
1963,84,11,0.13,0,0,0,0,484459,0,DE
1963,1219,177,0.15,0,0,1,0.01,5751537,0,FL
1963,825,206,0.25,0,0,2,0.01,4215302,0,GA
1963,3,1,0.33,0,0,0,0,64600,0,NA
1963,18,12,0.67,0,0,0,0,699619,0,HI
1963,283,194,0.69,0,0,1,0.01,2792207,0,IA
1963,152,73,0.48,0,0,0,0,717188,0,ID
1963,1186,404,0.34,0,0,0,0,10206746,0,IL
1963,414,220,0.53,0,0,0,0,4700179,0,IN
1963,473,190,0.40,0,0,1,0.01,2241371,0,KS
1963,709,171,0.24,0,0,0,0,3094883,0,KY
1963,314,94,0.30,0,0,0,0,3615386,0,LA
1963,511,228,0.45,0,0,0,0,5240551,0,MA
1963,213,51,0.24,0,0,0,0,3370486,0,MD
1963,260,80,0.31,0,0,1,0.01,999185,0,ME
1963,874,269,0.31,0,0,2,0.01,8139577,0,MI
1963,485,211,0.44,0,0,2,0.01,3520659,0,MN
1963,727,224,0.31,0,0,0,0,4406663,0,MO
1963,258,92,0.36,0,0,0,0,2294601,0,MS
1963,148,86,0.58,0,0,0,0,712374,0,MT
1963,342,130,0.38,0,0,0,0,1463374,0,NE
1963,827,172,0.21,0,0,0,0,4748593,0,NC
1963,144,65,0.45,0,0,0,0,634028,0,ND
1963,259,45,0.17,0,0,0,0,626987,0,NH
1963,658,327,0.50,0,0,0,0,6522750,0,NJ
1963,164,65,0.40,0,0,0,0,1058707,0,NM
1963,79,25,0.32,0,0,0,0,368015,0,NV
1963,1257,303,0.24,0,0,1,0.00,18527461,0,NY
1963,933,363,0.39,0,0,0,0,10185940,0,OH
1963,498,156,0.31,0,0,2,0.01,2541376,0,OK
1963,305,93,0.30,0,0,0,0,1823151,0,OR
1963,1904,535,0.28,0,0,0,0,11564752,0,PA
1963,25,0,0,0,0,0,0,2529000,0,NA
1963,64,31,0.48,0,0,0,0,902100,0,RI
1963,573,81,0.14,0,0,1,0.01,2539527,0,SC
1963,192,89,0.46,0,0,0,0,737033,0,SD
1963,606,137,0.23,0,0,1,0.01,3742236,0,TN
1963,1265,467,0.37,0,0,1,0.00,10589201,0,TX
1963,199,57,0.29,0,0,0,0,1012147,0,UT
1963,3,0,0,0,0,0,0,0,0,NA
1963,492,140,0.28,0,0,2,0.01,4384123,0,VA
1963,105,27,0.26,0,0,0,0,389992,0,VT
1963,328,110,0.34,0,0,1,0.01,3063991,0,WA
1963,489,192,0.39,0,0,0,0,4129658,0,WI
1963,542,55,0.10,0,0,0,0,1780077,0,WV
1963,89,42,0.47,0,0,0,0,336986,0,WY
1963,1,0,0,0,0,0,0,0,0,NA
1963,0,0,0,0,0,0,0,0,0,NA
1964,55,6,0.11,0,0,0,0,250000,0,AK
1964,488,108,0.22,0,0,0,0,3461181,0,AL
1964,346,80,0.23,0,0,0,0,1978395,0,AR
1964,1,0,0,0,0,0,0,0,0,NA
1964,173,41,0.24,0,0,0,0,1595225,0,AZ
1964,931,389,0.42,0,0,2,0.01,18595539,0,CA
1964,321,100,0.31,0,0,0,0,2003460,0,CO
1964,129,76,0.59,0,0,0,0,2848504,0,CT
1964,1,0,0,0,0,0,0,42796,0,NA
1964,3,1,0.33,0,0,0,0,808000,0,DC
1964,84,12,0.14,0,0,0,0,499265,0,DE
1964,1219,167,0.14,0,0,0,0,5807588,0,FL
1964,825,142,0.17,0,0,0,0,4373008,0,GA
1964,3,1,0.33,0,0,0,0,64363,0,NA
1964,18,12,0.67,0,0,0,0,706652,0,HI
1964,283,189,0.67,0,0,0,0,2768105,0,IA
1964,152,72,0.47,0,0,0,0,696173,0,ID
1964,1186,385,0.32,0,0,1,0.00,10541401,0,IL
1964,414,243,0.59,0,0,3,0.01,4834259,0,IN
1964,473,185,0.39,0,0,0,0,2241894,0,KS
1964,709,159,0.22,0,0,0,0,3159131,0,KY
1964,314,99,0.32,0,0,0,0,3683184,0,LA
1964,511,218,0.43,0,0,0,0,5360565,0,MA
1964,213,50,0.23,0,0,0,0,3519085,0,MD
1964,260,83,0.32,0,0,0,0,1011536,0,ME
1964,874,267,0.31,0,0,1,0.00,8145228,0,MI
1964,485,205,0.42,0,0,4,0.02,3546560,0,MN
1964,727,208,0.29,0,0,3,0.01,4488847,0,MO
1964,258,79,0.31,0,0,0,0,2318336,0,MS
1964,148,85,0.57,0,0,1,0.01,712372,0,MT
1964,342,127,0.37,0,0,0,0,1483192,0,NE
1964,827,154,0.19,0,0,0,0,4840183,0,NC
1964,144,63,0.44,0,0,0,0,644990,0,ND
1964,259,44,0.17,0,0,0,0,654041,0,NH
1964,658,315,0.48,0,0,0,0,6739587,0,NJ
1964,164,60,0.37,0,0,0,0,1051606,0,NM
1964,79,25,0.32,0,0,0,0,408007,0,NV
1964,1257,363,0.29,0,0,1,0.00,18788802,0,NY
1964,933,353,0.38,0,0,1,0.00,10116533,0,OH
1964,498,151,0.30,0,0,0,0,2509944,0,OK
1964,305,92,0.30,0,0,1,0.01,1868114,0,OR
1964,1903,508,0.27,0,0,1,0.00,11612544,0,PA
