year,state,governor,party
2012-01-01,IL,Pat Quinn,Democrat
2012-01-01,IN,Mitch Daniels,Republican
2012-01-01,IA,Terry E. Branstad,Republican
2012-01-01,KS,Sam Brownback,Republican
2012-01-01,KY,Steven L. Beshear,Democrat
2012-01-01,LA,Bobby Jindal,Republican
2012-01-01,ME,Paul LePage,Republican
2012-01-01,MD,Martin O'Malley,Democrat
2012-01-01,MA,Deval Patrick,Democrat
2012-01-01,MI,Rick Snyder,Republican
2012-01-01,MN,Mark Dayton,Democrat
2012-01-01,MS,Phil Bryant,Republican
2012-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2012-01-01,MT,Brian Schweitzer,Democrat
2012-01-01,NE,Dave Heineman,Republican
2012-01-01,NV,Brian Sandoval,Republican
2012-01-01,NH,John Lynch,Democrat
2012-01-01,NJ,Christopher Christie,Republican
2012-01-01,NM,Susana Martinez,Republican
2012-01-01,NY,Andrew Cuomo,Democrat
2012-01-01,NC,Bev Perdue,Democrat
2012-01-01,ND,Jack Dalrymple,Republican
2012-01-01,OH,John Kasich,Republican
2012-01-01,OK,Mary Fallin,Republican
2012-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2012-01-01,PA,Tom Corbett,Republican
2012-01-01,RI,Lincoln Chafee,Democrat
2012-01-01,SC,Nikki R. Haley,Republican
2012-01-01,SD,Dennis Daugaard,Republican
2012-01-01,TN,Bill Haslam,Republican
2012-01-01,TX,Rick Perry,Republican
2012-01-01,UT,Gary Richard Herbert,Republican
2012-01-01,VT,Peter Shumlin,Democrat
2012-01-01,VA,Robert McDonnell,Republican
2012-01-01,WA,Chris Gregoire,Democrat
2012-01-01,WV,Earl Ray Tomblin,Democrat
2012-01-01,WI,Scott Walker,Republican
2012-01-01,WY,Matthew Mead,Republican
2011-01-01,AL,Robert Bentley,Republican
2011-01-01,AK,Sean Parnell,Republican
2011-01-01,AZ,Jan Brewer,Republican
2011-01-01,AR,Mike Beebe,Democrat
2011-01-01,CA,Edmund G. Brown,Democrat
2011-01-01,CO,John Hickenlooper,Democrat
2011-01-01,CT,Dannel Malloy,Democrat
2011-01-01,DE,Jack Markell,Democrat
2011-01-01,FL,Rick Scott,Republican
2011-01-01,GA,Nathan Deal,Republican
2011-01-01,HI,Neil Abercrombie,Democrat
2011-01-01,ID,"C. L. ""Butch"" Otter",Republican
2011-01-01,IL,Pat Quinn,Democrat
2011-01-01,IN,Mitch Daniels,Republican
2011-01-01,IA,Terry E. Branstad,Republican
2011-01-01,KS,Sam Brownback,Republican
2011-01-01,KY,Steven L. Beshear,Democrat
2011-01-01,LA,Bobby Jindal,Republican
2011-01-01,ME,Paul LePage,Republican
2011-01-01,MD,Martin O'Malley,Democrat
2011-01-01,MA,Deval Patrick,Democrat
2011-01-01,MI,Rick Snyder,Republican
2011-01-01,MN,Mark Dayton,Democrat
2011-01-01,MS,Haley Barbour,Republican
2011-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2011-01-01,MT,Brian Schweitzer,Democrat
2011-01-01,NE,Dave Heineman,Republican
2011-01-01,NV,Brian Sandoval,Republican
2011-01-01,NH,John Lynch,Democrat
2011-01-01,NJ,Christopher Christie,Republican
2011-01-01,NM,Susana Martinez,Republican
2011-01-01,NY,Andrew Cuomo,Democrat
2011-01-01,NC,Bev Perdue,Democrat
2011-01-01,ND,Jack Dalrymple,Republican
2011-01-01,OH,John Kasich,Republican
2011-01-01,OK,Mary Fallin,Republican
2011-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2011-01-01,PA,Tom Corbett,Republican
2011-01-01,RI,Lincoln Chafee,Democrat
2011-01-01,SC,Nikki R. Haley,Republican
2011-01-01,SD,Dennis Daugaard,Republican
2011-01-01,TN,Bill Haslam,Republican
2011-01-01,TX,Rick Perry,Republican
2011-01-01,UT,Gary Richard Herbert,Republican
2011-01-01,VT,Peter Shumlin,Democrat
2011-01-01,VA,Robert McDonnell,Republican
2011-01-01,WA,Chris Gregoire,Democrat
2011-01-01,WV,Earl Ray Tomblin,Democrat
2011-01-01,WI,Scott Walker,Republican
2011-01-01,WY,Matthew Mead,Republican
2010-01-01,AL,Bob Riley,Republican
2010-01-01,AK,Sean Parnell,Republican
2010-01-01,AZ,Jan Brewer,Republican
2010-01-01,AR,Mike Beebe,Democrat
2010-01-01,CA,Arnold Schwarzenegger,Republican
2010-01-01,CO,Bill Ritter,Democrat
2010-01-01,CT,M. Jodi Rell,Republican
2010-01-01,DE,Jack Markell,Democrat
2010-01-01,FL,Charlie Crist,Republican
2010-01-01,GA,Sonny Perdue,Republican
2010-01-01,HI,Neil Abercrombie,Democrat
2010-01-01,ID,"C. L. ""Butch"" Otter",Republican
2010-01-01,IL,Pat Quinn,Democrat
2010-01-01,IN,Mitch Daniels,Republican
2010-01-01,IA,Chet Culver,Democrat
2010-01-01,KS,Mark Parkinson,Democrat
2010-01-01,KY,Steven L. Beshear,Democrat
2010-01-01,LA,Bobby Jindal,Republican
2010-01-01,ME,John E. Baldacci,Democrat
2010-01-01,MD,Martin O'Malley,Democrat
2010-01-01,MA,Deval Patrick,Democrat
2010-01-01,MI,Jennifer M. Granholm,Democrat
2010-01-01,MN,Tim Pawlenty,Republican
2010-01-01,MS,Haley Barbour,Republican
2010-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2010-01-01,MT,Brian Schweitzer,Democrat
2010-01-01,NE,Dave Heineman,Republican
2010-01-01,NV,Jim Gibbons,Republican
2010-01-01,NH,John Lynch,Democrat
2010-01-01,NJ,Christopher Christie,Republican
2010-01-01,NM,Bill Richardson,Democrat
2010-01-01,NY,David A. Paterson,Democrat
2010-01-01,NC,Bev Perdue,Democrat
2010-01-01,ND,Jack Dalrymple,Republican
2010-01-01,OH,Ted Strickland,Democrat
2010-01-01,OK,Brad Henry,Democrat
2010-01-01,OR,Ted Kulongoski,Democrat
2010-01-01,PA,Edward G. Rendell,Democrat
2010-01-01,RI,Don Carcieri,Republican
2010-01-01,SC,Mark Sanford,Republican
2010-01-01,SD,Mike Rounds,Republican
2010-01-01,TN,Phil Bredesen,Democrat
2010-01-01,TX,Rick Perry,Republican
2010-01-01,UT,Gary Richard Herbert,Republican
2010-01-01,VT,Jim Douglas,Republican
2010-01-01,VA,Robert McDonnell,Republican
