year,state,governor,party
1914-01-01,VA,Henry Carter Stuart,Democrat
1914-01-01,WA,Ernest Lister,Democrat
1914-01-01,WV,Henry Drury Hatfield,Republican
1914-01-01,WI,Francis E. McGovern,Republican
1914-01-01,WY,Joseph Maull Carey,Democrat
1913-01-01,AL,Emmet O'Neal,Democrat
1913-01-01,AZ,George Wylie Hunt,Democrat
1913-01-01,AR,George Washington Hays,Democrat
1913-01-01,CA,Hiram Warren Johnson,"Republican, Progressive"
1913-01-01,CO,Elias Milton Ammons,Democrat
1913-01-01,CT,Simeon Eben Baldwin,Democrat
1913-01-01,DE,Charles Robert Miller,Republican
1913-01-01,FL,Park Trammell,Democrat
1913-01-01,GA,John Marshall Slaton,Democrat
1913-01-01,ID,John Michiner Haines,Republican
1913-01-01,IL,Edward Fitzsimmons Dunne,Democrat
1913-01-01,IN,Samuel Moffett Ralston,Democrat
1913-01-01,IA,George Washington Clarke,Republican
1913-01-01,KS,George Hartshorn Hodges,Democrat
1913-01-01,KY,James Bennett McCreary,Democratic
1913-01-01,LA,Luther Egbert Hall,Democrat
1913-01-01,ME,William Thomas Haines,Republican
1913-01-01,MD,Phillips Lee Goldsborough,Republican
1913-01-01,MA,Eugene Noble Foss,Democratic
1913-01-01,MI,Woodbridge Nathan Ferris,Democratic
1913-01-01,MN,Adolph Olson Eberhart,Republican
1913-01-01,MS,Earl Leroy Brewer,Democratic
1913-01-01,MO,Elliot Woolfolk Major,Democratic
1913-01-01,MT,Samuel Vernon Stewart,Democratic
1913-01-01,NE,John Henry Morehead,Democratic
1913-01-01,NV,Tasker Lowndes Oddie,Republican
1913-01-01,NH,Samuel Demeritt Felker,Democratic
1913-01-01,NJ,Leon R. Taylor,Democratic
1913-01-01,NM,William Calhoun McDonald,Democratic
1913-01-01,NY,Martin Henry Glynn,Democratic
1913-01-01,NC,Locke Craig,Democratic
1913-01-01,ND,Louis Benjamin Hanna,Republican
1913-01-01,OH,James Middleton Cox,Democratic
1913-01-01,OK,Lee Cruce,Democrat
1913-01-01,OR,Oswald West,Democrat
1913-01-01,PA,John Kinley Tener,Republican
1913-01-01,RI,Aram Pothier,Republican
1913-01-01,SC,Coleman Livingston Blease,Democrat
1913-01-01,SD,Frank M. Byrne,Republican
1913-01-01,TN,Ben Walter Hooper,Republican
1913-01-01,TX,Oscar Branch Colquitt,Democrat
1913-01-01,UT,William Spry,Republican
1913-01-01,VT,Allen M. Fletcher,Republican
1913-01-01,VA,William Hodges Mann,Democrat
1913-01-01,WA,Ernest Lister,Democrat
1913-01-01,WV,Henry Drury Hatfield,Republican
1913-01-01,WI,Francis E. McGovern,Republican
1913-01-01,WY,Joseph Maull Carey,Democrat
1912-01-01,AL,Emmet O'Neal,Democrat
1912-01-01,AZ,George Wylie Hunt,Democrat
1912-01-01,AR,George W. Donaghey,Democrat
1912-01-01,CA,Hiram Warren Johnson,"Republican, Progressive"
1912-01-01,CO,John Franklin Shafroth,"Republican, Democrat"
1912-01-01,CT,Simeon Eben Baldwin,Democrat
1912-01-01,DE,Simeon Selby Pennewill,Republican
1912-01-01,FL,Albert Waller Gilchrist,Democrat
1912-01-01,GA,Joseph Emerson Brown,Democrat
1912-01-01,ID,James H. Hawley,Democrat
1912-01-01,IL,Charles Samuel Deneen,Republican
1912-01-01,IN,Thomas Riley Marshall,Democrat
1912-01-01,IA,Beryl Franklin Carroll,Republican
1912-01-01,KS,Walter Roscoe Stubbs,Republican
1912-01-01,KY,James Bennett McCreary,Democratic
1912-01-01,LA,Luther Egbert Hall,Democrat
1912-01-01,ME,Frederick William Plaisted,Democratic
1912-01-01,MD,Phillips Lee Goldsborough,Republican
1912-01-01,MA,Eugene Noble Foss,Democratic
1912-01-01,MI,Chase Salmon Osborn,Republican
1912-01-01,MN,Adolph Olson Eberhart,Republican
1912-01-01,MS,Earl Leroy Brewer,Democratic
1912-01-01,MO,Herbert Spencer Hadley,Republican
1912-01-01,MT,Edwin Lee Norris,Democratic
1912-01-01,NE,Chester Hardy Aldrich,Republican
1912-01-01,NV,Tasker Lowndes Oddie,Republican
1912-01-01,NH,Robert Perkins Bass,Republican
1912-01-01,NJ,Thomas Woodrow Wilson,Democratic
1912-01-01,NM,William Calhoun McDonald,Democratic
1912-01-01,NY,John Alden Dix,Democratic
1912-01-01,NC,William Walton Kitchin,Democratic
1912-01-01,ND,John Burke,Democratic
1912-01-01,OH,Judson Harmon,Democrat
1912-01-01,OK,Lee Cruce,Democrat
1912-01-01,OR,Oswald West,Democrat
1912-01-01,PA,John Kinley Tener,Republican
1912-01-01,RI,Aram Pothier,Republican
1912-01-01,SC,Coleman Livingston Blease,Democrat
1912-01-01,SD,Robert Scadden Vessey,Republican
1912-01-01,TN,Ben Walter Hooper,Republican
1912-01-01,TX,Oscar Branch Colquitt,Democrat
1912-01-01,UT,William Spry,Republican
1912-01-01,VT,Allen M. Fletcher,Republican
1912-01-01,VA,William Hodges Mann,Democrat
1912-01-01,WA,Marion E. Hay,Republican
1912-01-01,WV,William E. Glasscock,Republican
1912-01-01,WI,Francis E. McGovern,Republican
1912-01-01,WY,Joseph Maull Carey,Democrat
1911-01-01,AL,Emmet O'Neal,Democrat
1911-01-01,AZ,George Wylie Hunt,Democrat
1911-01-01,AR,George W. Donaghey,Democrat
1911-01-01,CA,Hiram Warren Johnson,"Republican, Progressive"
1911-01-01,CO,John Franklin Shafroth,"Republican, Democrat"
1911-01-01,CT,Simeon Eben Baldwin,Democrat
1911-01-01,DE,Simeon Selby Pennewill,Republican
1911-01-01,FL,Albert Waller Gilchrist,Democrat
1911-01-01,GA,John Marshall Slaton,Democrat
1911-01-01,ID,James H. Hawley,Democrat
1911-01-01,IL,Charles Samuel Deneen,Republican
1911-01-01,IN,Thomas Riley Marshall,Democrat
1911-01-01,IA,Beryl Franklin Carroll,Republican
1911-01-01,KS,Walter Roscoe Stubbs,Republican
1911-01-01,KY,James Bennett McCreary,Democratic
1911-01-01,LA,Jared Young Sanders,Democrat
1911-01-01,ME,Frederick William Plaisted,Democratic
1911-01-01,MD,Austin Lane Crothers,Democrat
1911-01-01,MA,Eugene Noble Foss,Democratic
1911-01-01,MI,Chase Salmon Osborn,Republican
1911-01-01,MN,Adolph Olson Eberhart,Republican
1911-01-01,MS,Edmond Favor Noel,Democratic
1911-01-01,MO,Herbert Spencer Hadley,Republican
1911-01-01,MT,Edwin Lee Norris,Democratic
1911-01-01,NE,Chester Hardy Aldrich,Republican
1911-01-01,NV,Tasker Lowndes Oddie,Republican
1911-01-01,NH,Robert Perkins Bass,Republican
1911-01-01,NJ,Thomas Woodrow Wilson,Democratic
1911-01-01,NY,John Alden Dix,Democratic
1911-01-01,NC,William Walton Kitchin,Democratic
1911-01-01,ND,John Burke,Democratic
1911-01-01,OH,Judson Harmon,Democrat
1911-01-01,OK,Lee Cruce,Democrat
1911-01-01,OR,Oswald West,Democrat
1911-01-01,PA,John Kinley Tener,Republican
1911-01-01,RI,Aram Pothier,Republican
1911-01-01,SC,Coleman Livingston Blease,Democrat
1911-01-01,SD,Robert Scadden Vessey,Republican
1911-01-01,TN,Ben Walter Hooper,Republican
1911-01-01,TX,Oscar Branch Colquitt,Democrat
1911-01-01,UT,William Spry,Republican
1911-01-01,VT,John Abner Mead,Republican
1911-01-01,VA,William Hodges Mann,Democrat
1911-01-01,WA,Marion E. Hay,Republican
1911-01-01,WV,William E. Glasscock,Republican
1911-01-01,WI,Francis E. McGovern,Republican
1911-01-01,WY,Joseph Maull Carey,Democrat
1910-01-01,AL,Braxton Bragg Comer,Democrat
1910-01-01,AR,George W. Donaghey,Democrat
1910-01-01,CA,James Norris Gillett,Republican
1910-01-01,CO,John Franklin Shafroth,"Republican, Democrat"
1910-01-01,CT,Frank Bentley Weeks,Republican
1910-01-01,DE,Simeon Selby Pennewill,Republican
1910-01-01,FL,Albert Waller Gilchrist,Democrat
1910-01-01,GA,Joseph Mackey Brown,Democrat
1910-01-01,ID,James Henry Brady,Republican
1910-01-01,IL,Charles Samuel Deneen,Republican
1910-01-01,IN,Thomas Riley Marshall,Democrat
1910-01-01,IA,Beryl Franklin Carroll,Republican
1910-01-01,KS,Walter Roscoe Stubbs,Republican
1910-01-01,KY,Augustus Everett Willson,Republican
1910-01-01,LA,Jared Young Sanders,Democrat
1910-01-01,ME,Bert Manfred Fernald,Republican
1910-01-01,MD,Austin Lane Crothers,Democrat
1910-01-01,MA,Ebenezer Sumner Draper,Republican
1910-01-01,MI,Fred Maltby Warner,Republican
1910-01-01,MN,Adolph Olson Eberhart,Republican
1910-01-01,MS,Edmond Favor Noel,Democratic
1910-01-01,MO,Herbert Spencer Hadley,Republican
1910-01-01,MT,Edwin Lee Norris,Democratic
1910-01-01,NE,Ashton Cockayne Shallenberger,Democratic
1910-01-01,NV,Denver Sylvester Dickerson,Democratic
1910-01-01,NH,Henry Brewer Quinby,Republican
1910-01-01,NJ,John Franklin Fort,Republican
1910-01-01,NY,Horace White,Republican
1910-01-01,NC,William Walton Kitchin,Democratic
1910-01-01,ND,John Burke,Democratic
1910-01-01,OH,Judson Harmon,Democrat
1910-01-01,OK,Charles Nathaniel Haskell,Democrat
1910-01-01,OR,Jay Bowerman,Republican
1910-01-01,PA,Edwin Sydney Stuart,Republican
1910-01-01,RI,Aram Pothier,Republican
1910-01-01,SC,Martin Frederick Ansel,Democrat
1910-01-01,SD,Robert Scadden Vessey,Republican
1910-01-01,TN,Malcolm Rice Patterson,Democrat
1910-01-01,TX,Thomas Mitchell Campbell,Democrat
1910-01-01,UT,William Spry,Republican
1910-01-01,VT,John Abner Mead,Republican
1910-01-01,VA,William Hodges Mann,Democrat
1910-01-01,WA,Marion E. Hay,Republican
1910-01-01,WV,William E. Glasscock,Republican
1910-01-01,WI,James O. Davidson,Republican
1909-01-01,AL,Braxton Bragg Comer,Democrat
1909-01-01,AR,George W. Donaghey,Democrat
1909-01-01,CA,James Norris Gillett,Republican
1909-01-01,CO,John Franklin Shafroth,"Republican, Democrat"
1909-01-01,CT,Frank Bentley Weeks,Republican
1909-01-01,DE,Simeon Selby Pennewill,Republican
1909-01-01,FL,Albert Waller Gilchrist,Democrat
1909-01-01,GA,Joseph Mackey Brown,Democrat
1909-01-01,ID,James Henry Brady,Republican
1909-01-01,IL,Charles Samuel Deneen,Republican
1909-01-01,IN,Thomas Riley Marshall,Democrat
1909-01-01,IA,Beryl Franklin Carroll,Republican
1909-01-01,KS,Walter Roscoe Stubbs,Republican
1909-01-01,KY,Augustus Everett Willson,Republican
1909-01-01,LA,Jared Young Sanders,Democrat
1909-01-01,ME,Bert Manfred Fernald,Republican
1909-01-01,MD,Austin Lane Crothers,Democrat
1909-01-01,MA,Ebenezer Sumner Draper,Republican
1909-01-01,MI,Fred Maltby Warner,Republican
1909-01-01,MN,Adolph Olson Eberhart,Republican
1909-01-01,MS,Edmond Favor Noel,Democratic
1909-01-01,MO,Herbert Spencer Hadley,Republican
1909-01-01,MT,Edwin Lee Norris,Democratic
1909-01-01,NE,Ashton Cockayne Shallenberger,Democratic
1909-01-01,NV,Denver Sylvester Dickerson,Democratic
1909-01-01,NH,Henry Brewer Quinby,Republican
1909-01-01,NJ,John Franklin Fort,Republican
1909-01-01,NY,Charles Evans Hughes,Republican
1909-01-01,NC,William Walton Kitchin,Democratic
1909-01-01,ND,John Burke,Democratic
1909-01-01,OH,Judson Harmon,Democrat
1909-01-01,OK,Charles Nathaniel Haskell,Democrat
1909-01-01,OR,Frank W. Benson,Republican
1909-01-01,PA,Edwin Sydney Stuart,Republican
1909-01-01,RI,Aram Pothier,Republican
1909-01-01,SC,Martin Frederick Ansel,Democrat
1909-01-01,SD,Robert Scadden Vessey,Republican
1909-01-01,TN,Malcolm Rice Patterson,Democrat
1909-01-01,TX,Thomas Mitchell Campbell,Democrat
1909-01-01,UT,William Spry,Republican
1909-01-01,VT,George Prouty,Republican
1909-01-01,VA,Claude Augustus Swanson,Democrat
1909-01-01,WA,Marion E. Hay,Republican
1909-01-01,WV,William E. Glasscock,Republican
1909-01-01,WI,James O. Davidson,Republican
1908-01-01,AL,Braxton Bragg Comer,Democrat
1908-01-01,AR,Xenophon Overton Pindall,Democrat
1908-01-01,CA,James Norris Gillett,Republican
1908-01-01,CO,Henry Augustus Buchtel,Republican
1908-01-01,CT,Rollin Simmons Woodruff,Republican
1908-01-01,DE,Preston Lea,Republican
1908-01-01,FL,Napoleon Bonaparte Broward,Democrat
1908-01-01,GA,Hoke Smith,Democrat
1908-01-01,ID,Frank Robert Gooding,Republican
1908-01-01,IL,Charles Samuel Deneen,Republican
1908-01-01,IN,James Frank Hanly,Republican
1908-01-01,IA,Warren Garst,Republican
1908-01-01,KS,Edward Wallis Hoch,Republican
1908-01-01,KY,Augustus Everett Willson,Republican
1908-01-01,LA,Jared Young Sanders,Democrat
1908-01-01,ME,William Titcomb Cobb,Republican
1908-01-01,MD,Austin Lane Crothers,Democrat
1908-01-01,MA,Curtis Guild,Republican
1908-01-01,MI,Fred Maltby Warner,Republican
1908-01-01,MN,John Albert Johnson,Democratic
1908-01-01,MS,Edmond Favor Noel,Democratic
1908-01-01,MO,Joseph Wingate Folk,Democratic
1908-01-01,MT,Edwin Lee Norris,Democratic
1908-01-01,NE,George Lawson Sheldon,Republican
1908-01-01,NV,Denver Sylvester Dickerson,Democratic
1908-01-01,NH,Charles Miller Floyd,Republican
1908-01-01,NJ,John Franklin Fort,Republican
1908-01-01,NY,Charles Evans Hughes,Republican
1908-01-01,NC,Robert Broadnax Glenn,Democratic
1908-01-01,ND,John Burke,Democratic
1908-01-01,OH,Andrew L. Harris,Republican
1908-01-01,OK,Charles Nathaniel Haskell,Democrat
1908-01-01,OR,George Earle Chamberlain,Democrat
1908-01-01,PA,Edwin Sydney Stuart,Republican
1908-01-01,RI,James Henry Higgins,Democrat
1908-01-01,SC,Martin Frederick Ansel,Democrat
1908-01-01,SD,Coe Isaac Crawford,Republican
1908-01-01,TN,Malcolm Rice Patterson,Democrat
1908-01-01,TX,Thomas Mitchell Campbell,Democrat
1908-01-01,UT,John Christopher Cutler,Republican
1908-01-01,VT,George Prouty,Republican
1908-01-01,VA,Claude Augustus Swanson,Democrat
1908-01-01,WA,Albert E. Mead,Republican
1908-01-01,WV,William M.O. Dawson,Republican
1908-01-01,WI,James O. Davidson,Republican
1907-01-01,AL,Braxton Bragg Comer,Democrat
1907-01-01,AR,Xenophon Overton Pindall,Democrat
1907-01-01,CA,James Norris Gillett,Republican
1907-01-01,CO,Henry Augustus Buchtel,Republican
1907-01-01,CT,Rollin Simmons Woodruff,Republican
1907-01-01,DE,Preston Lea,Republican
1907-01-01,FL,Napoleon Bonaparte Broward,Democrat
1907-01-01,GA,Hoke Smith,Democrat
1907-01-01,ID,Frank Robert Gooding,Republican
1907-01-01,IL,Charles Samuel Deneen,Republican
1907-01-01,IN,James Frank Hanly,Republican
1907-01-01,IA,Albert Baird Cummins,Republican
1907-01-01,KS,Edward Wallis Hoch,Republican
1907-01-01,KY,Augustus Everett Willson,Republican
1907-01-01,LA,Newton Crain Blanchard,Democrat
1907-01-01,ME,William Titcomb Cobb,Republican
1907-01-01,MD,Edwin Warfield,Democrat
1907-01-01,MA,Curtis Guild,Republican
1907-01-01,MI,Fred Maltby Warner,Republican
1907-01-01,MN,John Albert Johnson,Democratic
1907-01-01,MS,James Vardaman,Democratic
1907-01-01,MO,Joseph Wingate Folk,Democratic
1907-01-01,MT,Joseph Kemp Toole,Democratic
1907-01-01,NE,George Lawson Sheldon,Republican
1907-01-01,NV,John Sparks,Silver-Democratic
1907-01-01,NH,Charles Miller Floyd,Republican
1907-01-01,NJ,Edward Casper Stokes,Republican
1907-01-01,NY,Charles Evans Hughes,Republican
1907-01-01,NC,Robert Broadnax Glenn,Democratic
1907-01-01,ND,John Burke,Democratic
1907-01-01,OH,Andrew L. Harris,Republican
1907-01-01,OK,Charles Nathaniel Haskell,Democrat
1907-01-01,OR,George Earle Chamberlain,Democrat
1907-01-01,PA,Edwin Sydney Stuart,Republican
1907-01-01,RI,James Henry Higgins,Democrat
1907-01-01,SC,Martin Frederick Ansel,Democrat
1907-01-01,SD,Coe Isaac Crawford,Republican
1907-01-01,TN,Malcolm Rice Patterson,Democrat
1907-01-01,TX,Thomas Mitchell Campbell,Democrat
1907-01-01,UT,John Christopher Cutler,Republican
1907-01-01,VT,Fletcher Dutton Proctor,Republican
1907-01-01,VA,Claude Augustus Swanson,Democrat
1907-01-01,WA,Albert E. Mead,Republican
1907-01-01,WV,William M.O. Dawson,Republican
1907-01-01,WI,James O. Davidson,Republican
1906-01-01,AL,William Dorsey Jelks,Democrat
1906-01-01,AR,Jefferson Davis,Democrat
1906-01-01,CA,George Cooper Pardee,"Progressive, Republican"
1906-01-01,CO,Jesse Fuller McDonald,Republican
1906-01-01,CT,Henry Roberts,Republican
1906-01-01,DE,Preston Lea,Republican
1906-01-01,FL,Napoleon Bonaparte Broward,Democrat
1906-01-01,GA,Joseph Meriwether Terrell,Democrat
1906-01-01,ID,Frank Robert Gooding,Republican
1906-01-01,IL,Charles Samuel Deneen,Republican
1906-01-01,IN,James Frank Hanly,Republican
1906-01-01,IA,Albert Baird Cummins,Republican
1906-01-01,KS,Edward Wallis Hoch,Republican
1906-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1906-01-01,LA,Newton Crain Blanchard,Democrat
1906-01-01,ME,William Titcomb Cobb,Republican
1906-01-01,MD,Edwin Warfield,Democrat
1906-01-01,MA,Curtis Guild,Republican
1906-01-01,MI,Fred Maltby Warner,Republican
1906-01-01,MN,John Albert Johnson,Democratic
1906-01-01,MS,James Vardaman,Democratic
1906-01-01,MO,Joseph Wingate Folk,Democratic
1906-01-01,MT,Joseph Kemp Toole,Democratic
1906-01-01,NE,John Hopwood Mickey,Republican
1906-01-01,NV,John Sparks,Silver-Democratic
1906-01-01,NH,John McLane,Republican
1906-01-01,NJ,Edward Casper Stokes,Republican
1906-01-01,NY,Francis Wayland Higgins,Republican
1906-01-01,NC,Robert Broadnax Glenn,Democratic
1906-01-01,ND,Elmore Yocum Sarles,Republican
1906-01-01,OH,Andrew L. Harris,Republican
1906-01-01,OR,George Earle Chamberlain,Democrat
1906-01-01,PA,Samuel Whitaker Pennypacker,Republican
1906-01-01,RI,George Herbert Utter,Republican
1906-01-01,SC,Duncan Clinch Heyward,Democrat
1906-01-01,SD,Samuel Harrison Elrod,Republican
1906-01-01,TN,John Isaac Cox,Democrat
1906-01-01,TX,Samuel Willis Tucker Lanham,Democrat
1906-01-01,UT,John Christopher Cutler,Republican
1906-01-01,VT,Fletcher Dutton Proctor,Republican
1906-01-01,VA,Claude Augustus Swanson,Democrat
1906-01-01,WA,Albert E. Mead,Republican
1906-01-01,WV,William M.O. Dawson,Republican
1906-01-01,WI,James O. Davidson,Republican
1905-01-01,AL,William Dorsey Jelks,Democrat
1905-01-01,AR,Jefferson Davis,Democrat
1905-01-01,CA,George Cooper Pardee,"Progressive, Republican"
1905-01-01,CO,Jesse Fuller McDonald,Republican
1905-01-01,CT,Henry Roberts,Republican
1905-01-01,DE,Preston Lea,Republican
1905-01-01,FL,Napoleon Bonaparte Broward,Democrat
1905-01-01,GA,Joseph Meriwether Terrell,Democrat
1905-01-01,ID,Frank Robert Gooding,Republican
1905-01-01,IL,Charles Samuel Deneen,Republican
1905-01-01,IN,James Frank Hanly,Republican
1905-01-01,IA,Albert Baird Cummins,Republican
1905-01-01,KS,Edward Wallis Hoch,Republican
1905-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1905-01-01,LA,Newton Crain Blanchard,Democrat
1905-01-01,ME,William Titcomb Cobb,Republican
1905-01-01,MD,Edwin Warfield,Democrat
1905-01-01,MA,William Lewis Douglas,Democratic
1905-01-01,MI,Fred Maltby Warner,Republican
1905-01-01,MN,John Albert Johnson,Democratic
1905-01-01,MS,James Vardaman,Democratic
1905-01-01,MO,Joseph Wingate Folk,Democratic
1905-01-01,MT,Joseph Kemp Toole,Democratic
1905-01-01,NE,John Hopwood Mickey,Republican
1905-01-01,NV,John Sparks,Silver-Democratic
1905-01-01,NH,John McLane,Republican
1905-01-01,NJ,Edward Casper Stokes,Republican
1905-01-01,NY,Francis Wayland Higgins,Republican
1905-01-01,NC,Robert Broadnax Glenn,Democratic
1905-01-01,ND,Elmore Yocum Sarles,Republican
1905-01-01,OH,Myron Timothy Herrick,Republican
1905-01-01,OR,George Earle Chamberlain,Democrat
1905-01-01,PA,Samuel Whitaker Pennypacker,Republican
1905-01-01,RI,George Herbert Utter,Republican
1905-01-01,SC,Duncan Clinch Heyward,Democrat
1905-01-01,SD,Samuel Harrison Elrod,Republican
1905-01-01,TN,John Isaac Cox,Democrat
1905-01-01,TX,Samuel Willis Tucker Lanham,Democrat
1905-01-01,UT,John Christopher Cutler,Republican
1905-01-01,VT,Charles James Bell,Republican
1905-01-01,VA,Andrew Jackson Montague,Democrat
1905-01-01,WA,Albert E. Mead,Republican
1905-01-01,WV,William M.O. Dawson,Republican
1905-01-01,WI,Robert M. La Follette,Republican
1905-01-01,WY,Fenimore Chatterton,Republican
1904-01-01,AL,Russell McWorther Cunningham,Democrat
1904-01-01,AR,Jefferson Davis,Democrat
1904-01-01,CA,George Cooper Pardee,"Progressive, Republican"
1904-01-01,CO,James Hamilton Peabody,Republican
1904-01-01,CT,Abiram Chamberlain,Republican
1904-01-01,DE,John Hunn,Republican
1904-01-01,FL,William Sherman Jennings,Democrat
1904-01-01,GA,Joseph Meriwether Terrell,Democrat
1904-01-01,ID,John T. Morrison,Republican
1904-01-01,IL,Richard Yates,Republican
1904-01-01,IN,Winfield Taylor Durbin,Republican
1904-01-01,IA,Albert Baird Cummins,Republican
1904-01-01,KS,Willis Joshua Bailey,Republican
1904-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1904-01-01,LA,Newton Crain Blanchard,Democrat
1904-01-01,ME,John Fremont Hill,Republican
1904-01-01,MD,Edwin Warfield,Democrat
1904-01-01,MA,John Lewis Bates,Republican
1904-01-01,MI,Aaron Thomas Bliss,Republican
1904-01-01,MN,Samuel Rinnah Van Sant,Republican
1904-01-01,MS,James Vardaman,Democratic
1904-01-01,MO,Alexander Monroe Dockery,Democratic
1904-01-01,MT,Joseph Kemp Toole,Democratic
1904-01-01,NE,John Hopwood Mickey,Republican
1904-01-01,NV,John Sparks,Silver-Democratic
1904-01-01,NH,Nahum Josiah Bachelder,Republican
1904-01-01,NJ,Franklin Murphy,Republican
1904-01-01,NY,Benjamin Baker Odell,Republican
1904-01-01,NC,Charles Brantley Aycock,Democratic
1904-01-01,ND,Frank White,Republican
1904-01-01,OH,Myron Timothy Herrick,Republican
1904-01-01,OR,George Earle Chamberlain,Democrat
1904-01-01,PA,Samuel Whitaker Pennypacker,Republican
1904-01-01,RI,Lucius Fayette Clark Garvin,Democrat
1904-01-01,SC,Duncan Clinch Heyward,Democrat
1904-01-01,SD,Charles N. Herreid,Republican
1904-01-01,TN,James Beriah Frazier,Democrat
1904-01-01,TX,Samuel Willis Tucker Lanham,Democrat
1904-01-01,UT,Heber Manning Wells,Republican
1904-01-01,VT,Charles James Bell,Republican
1904-01-01,VA,Andrew Jackson Montague,Democrat
1904-01-01,WA,Henry McBride,Republican
1904-01-01,WV,Albert Blakeslee White,Republican
1904-01-01,WI,Robert M. La Follette,Republican
1904-01-01,WY,Fenimore Chatterton,Republican
1903-01-01,AL,William Dorsey Jelks,Democrat
1903-01-01,AR,Jefferson Davis,Democrat
1903-01-01,CA,George Cooper Pardee,"Progressive, Republican"
1903-01-01,CO,James Hamilton Peabody,Republican
1903-01-01,CT,Abiram Chamberlain,Republican
1903-01-01,DE,John Hunn,Republican
1903-01-01,FL,William Sherman Jennings,Democrat
1903-01-01,GA,Joseph Meriwether Terrell,Democrat
1903-01-01,ID,John T. Morrison,Republican
1903-01-01,IL,Richard Yates,Republican
1903-01-01,IN,Winfield Taylor Durbin,Republican
1903-01-01,IA,Albert Baird Cummins,Republican
1903-01-01,KS,Willis Joshua Bailey,Republican
1903-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1903-01-01,LA,William Wright Heard,Democrat
1903-01-01,ME,John Fremont Hill,Republican
1903-01-01,MD,John Walter Smith,Democrat
1903-01-01,MA,John Lewis Bates,Republican
1903-01-01,MI,Aaron Thomas Bliss,Republican
1903-01-01,MN,Samuel Rinnah Van Sant,Republican
1903-01-01,MS,Andrew Houston Longino,Democratic
1903-01-01,MO,Alexander Monroe Dockery,Democratic
1903-01-01,MT,Joseph Kemp Toole,Democratic
1903-01-01,NE,John Hopwood Mickey,Republican
1903-01-01,NV,John Sparks,Silver-Democratic
1903-01-01,NH,Nahum Josiah Bachelder,Republican
1903-01-01,NJ,Franklin Murphy,Republican
1903-01-01,NY,Benjamin Baker Odell,Republican
1903-01-01,NC,Charles Brantley Aycock,Democratic
1903-01-01,ND,Frank White,Republican
1903-01-01,OH,George Kilbon Nash,Republican
1903-01-01,OR,George Earle Chamberlain,Democrat
1903-01-01,PA,Samuel Whitaker Pennypacker,Republican
1903-01-01,RI,Lucius Fayette Clark Garvin,Democrat
1903-01-01,SC,Duncan Clinch Heyward,Democrat
1903-01-01,SD,Charles N. Herreid,Republican
1903-01-01,TN,James Beriah Frazier,Democrat
1903-01-01,TX,Samuel Willis Tucker Lanham,Democrat
1903-01-01,UT,Heber Manning Wells,Republican
1903-01-01,VT,John Griffith McCullough,Republican
1903-01-01,VA,Andrew Jackson Montague,Democrat
1903-01-01,WA,Henry McBride,Republican
1903-01-01,WV,Albert Blakeslee White,Republican
1903-01-01,WI,Robert M. La Follette,Republican
1903-01-01,WY,Fenimore Chatterton,Republican
1902-01-01,AL,William Dorsey Jelks,Democrat
1902-01-01,AR,Jefferson Davis,Democrat
1902-01-01,CA,Henry Tifft Gage,Republican
1902-01-01,CO,James Bradley Orman,Democrat
1902-01-01,CT,George Payne McLean,Republican
1902-01-01,DE,John Hunn,Republican
1902-01-01,FL,William Sherman Jennings,Democrat
1902-01-01,GA,Joseph Meriwether Terrell,Democrat
1902-01-01,ID,Frank W. Hunt,Democrat
1902-01-01,IL,Richard Yates,Republican
1902-01-01,IN,Winfield Taylor Durbin,Republican
1902-01-01,IA,Albert Baird Cummins,Republican
1902-01-01,KS,William Eugene Stanley,Republican
1902-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1902-01-01,LA,William Wright Heard,Democrat
1902-01-01,ME,John Fremont Hill,Republican
1902-01-01,MD,John Walter Smith,Democrat
1902-01-01,MA,Winthrop Murray Crane,Republican
1902-01-01,MI,Aaron Thomas Bliss,Republican
1902-01-01,MN,Samuel Rinnah Van Sant,Republican
1902-01-01,MS,Andrew Houston Longino,Democratic
1902-01-01,MO,Alexander Monroe Dockery,Democratic
1902-01-01,MT,Joseph Kemp Toole,Democratic
1902-01-01,NE,Ezra Perin Savage,Republican
1902-01-01,NV,Reinhold Sadler,Silver
1902-01-01,NH,Chester Bradley Jordan,Republican
1902-01-01,NJ,Franklin Murphy,Republican
1902-01-01,NY,Benjamin Baker Odell,Republican
1902-01-01,NC,Charles Brantley Aycock,Democratic
1902-01-01,ND,Frank White,Republican
1902-01-01,OH,George Kilbon Nash,Republican
1902-01-01,OR,Theodore T. Geer,Republican
1902-01-01,PA,William Alexis Stone,Republican
1902-01-01,RI,Charles Dean Kimball,Republican
1902-01-01,SC,Miles Benjamin McSweeney,Democrat
1902-01-01,SD,Charles N. Herreid,Republican
1902-01-01,TN,Benton McMillin,Democrat
1902-01-01,TX,Joseph Draper Sayers,Democrat
1902-01-01,UT,Heber Manning Wells,Republican
1902-01-01,VT,John Griffith McCullough,Republican
1902-01-01,VA,Andrew Jackson Montague,Democrat
1902-01-01,WA,Henry McBride,Republican
