year,state,Black,Other,White,Female,Male,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1969-01-01,NH,2372,1458,719125,369874,353081,12719,12792,12568,13303,13536,14635,15246,15518,15303,15722,15106,14494,14409,14438,13862,13283,12762,12451,13388,13119,11797,11377,11026,11686,8506,9153,9693,10495,9223,8391,8425,7712,7823,7472,7530,7826,7774,7866,7851,7932,8474,8274,8389,8276,8300,8565,8248,8207,8371,8382,8076,7969,7580,7391,7554,7209,7123,6939,6809,6691,6888,6442,6309,6110,5727,5465,5282,5085,4838,4645,5002,4515,4262,3911,3751,3743,3233,2978,2589,2520,2247,2006,1766,1497,1328,5777
1969-01-01,NJ,752405,29131,6322892,3667125,3437303,116379,114815,114099,119964,127407,135039,141602,142305,143248,147753,143331,140973,140933,139718,135946,131867,126652,124624,110369,104835,97266,93845,98133,110112,83925,89301,91909,105043,90460,84098,82891,78295,78436,76553,78257,79422,79322,83033,84774,88456,93973,92502,94401,95205,95609,96510,95710,95890,95819,95802,94214,88615,86555,82531,80909,80813,76935,74760,71845,70450,68976,64680,62294,57032,55323,53907,50620,48332,43568,44628,44860,40777,37865,36420,35089,31525,28270,26411,22848,21001,19169,17831,14632,11817,10529,41586
1969-01-01,NM,19072,75038,901163,505152,490121,19936,18788,17925,18561,19583,22438,23982,24994,24980,26001,25645,23912,24182,24187,23563,22595,21925,20989,19120,17631,16145,15945,15728,16473,12145,12913,12869,13274,12221,11638,12417,11690,11581,11258,11279,11875,11600,11514,11771,11490,12284,11667,11163,11139,11250,11179,10803,10903,10811,10341,10230,9421,9073,8677,8600,8667,8240,8188,8119,7677,7594,6885,6735,6225,6155,5468,5278,4911,4414,4496,4192,3831,3419,3223,3226,2999,2647,2490,2328,2006,1930,1690,1390,1233,1086,4227
1969-01-01,NV,26201,10862,432914,231797,238180,8707,8444,8074,8708,8988,9780,10203,10318,10395,10548,9970,9574,9675,9520,9143,8550,8292,7707,6813,6572,6676,7088,7375,8137,6275,6944,7142,7771,7158,7008,6976,6479,6646,6274,6364,6312,6133,5963,5915,6170,6443,6069,5937,5829,6128,6173,6006,6038,5920,5932,5886,5581,5390,5067,5015,4936,4648,4534,4319,4159,3851,3589,3311,3018,2974,2731,2499,2351,2124,2047,1926,1610,1509,1375,1284,1186,1068,977,838,746,694,602,506,427,381,1556
1969-01-01,NY,2134051,164472,15868582,9489389,8677716,302690,291659,288665,300480,316751,332052,344372,346670,344759,356092,347497,339333,338926,337264,332741,323772,313380,310662,299831,291867,269211,259773,263655,292090,232814,244918,245317,273197,236193,226080,222081,202906,202333,193898,201072,203550,200249,205248,207860,218005,232314,224809,228480,226071,230583,231140,226565,227054,227261,231093,228209,212509,207965,200596,199684,206143,196543,195466,190509,189082,190418,178481,172535,160703,157238,154661,143028,139167,126374,131367,129487,116324,106747,102096,98651,88828,79711,73516,64049,60015,54633,48569,39433,33211,29810,116064
1969-01-01,OH,965503,24074,9621151,5470621,5140107,187829,184232,177844,183703,189607,205005,215355,218394,222072,229961,226991,224903,228851,226885,220557,215237,205982,201192,195480,183536,164532,158900,163156,177149,127210,134567,136952,153344,135980,126432,125602,119803,119689,113967,115119,117520,112169,115640,116630,121887,129300,128411,132527,132023,133341,134114,134243,130511,133429,127948,124066,120571,116130,112027,110792,108078,107028,101233,97040,93894,93073,88289,84868,80163,77998,72642,69401,66308,60712,60542,61178,55702,52545,51051,48877,45734,42287,40178,35736,31523,30293,26355,22204,19396,17118,69985
1969-01-01,OK,168820,97611,2257340,1295021,1228750,40872,38853,36648,37251,38855,44497,47769,49960,49621,50947,51080,49087,49891,50685,50234,49479,48678,47234,46367,45760,42088,40699,39747,42430,31047,33096,33197,33568,30577,29311,29366,27177,26755,26015,27033,27982,27689,27474,27362,27820,29431,28183,28848,28663,29903,29864,29615,29121,29784,28880,28848,27842,25955,24674,25229,26078,26594,26704,26583,25420,25750,24517,25261,23216,23327,21596,21368,20368,18602,19069,17561,16231,15186,14268,14229,13232,12368,11453,10259,8853,8864,7995,6611,5718,5043,22406
1969-01-01,OR,25471,27563,2003345,1051047,1005332,33683,32359,30651,31997,32904,35274,37777,40669,41157,43318,41924,40699,41751,42672,42099,41798,42558,41592,38821,36048,31485,30437,30646,33854,25280,26970,27530,28995,25812,24675,23994,22659,21889,21316,20711,21117,20925,20886,21167,21997,23330,23154,23714,24059,24280,25124,24620,24609,25559,25043,24544,24183,23422,22871,22881,23059,22512,22063,21675,20595,20560,19009,18452,17746,16890,16016,15379,14955,13588,13280,13767,12535,11534,11186,10577,10095,9391,9042,8151,7029,7079,6134,5307,4613,4081,16590
1969-01-01,PA,1013664,26350,10710355,6108960,5641409,184048,183921,180903,187590,196298,211237,219912,222087,225291,236030,233392,232575,235678,235914,230634,224791,220469,216329,208098,193709,169674,162556,163497,178698,129172,137673,142220,157310,134835,127277,125275,120068,120589,116482,118988,122025,120272,125351,129973,136484,146982,147017,153945,154305,157276,158324,157235,153936,158903,156512,155810,150666,146238,142019,140335,140179,134726,130830,126093,121921,121800,114870,110967,104902,100663,95759,90389,86950,78699,79798,80003,72652,68322,65799,63251,58650,53277,49294,43515,39295,37086,32626,27019,23041,20008,81157
1969-01-01,RI,24597,5285,911240,478804,462318,15362,14965,14985,15209,16243,16912,17537,17669,17669,18332,17646,17378,17689,17496,17243,16977,16055,15857,17163,18240,19126,18880,17273,17546,12051,12231,12052,13118,10999,10184,9808,9303,9178,8939,8922,9201,9285,9575,9598,10153,10930,11166,11626,11884,11967,12266,11991,11910,12146,11835,11551,11482,11138,10549,10276,10367,10251,9995,9806,9321,9257,8897,8625,8118,7686,7590,7311,6940,6437,6426,6450,6046,5608,5385,5295,4812,4348,4034,3625,3211,2996,2744,2285,1962,1671,6857
